liga,hora,home,away,link_confronto
Brasil - Serie A,19:30,Botafogo,Mirassol,https://redscores.com/pt-br/match/botafogo-mirassol/7Xxm9b
EUA - Major League Soccer,20:30,New York City,Columbus Crew,https://redscores.com/pt-br/match/columbus-crew-new-york-city/oExo8
EUA - Major League Soccer,22:30,Real Salt Lake,Los Angeles FC,https://redscores.com/pt-br/match/real-salt-lake-los-angeles-fc/MIx0UT
Bolívia - Liga De Futbol Prof,16:00,The Strongest,Independiente Petrolero,https://redscores.com/pt-br/match/the-strongest-independiente-petrolero/kvbx8tdA
Bolívia - Liga De Futbol Prof,16:00,ABB,Gualberto Villarroel SJ,https://redscores.com/pt-br/match/abb-gualberto-villarroel-sj/yseAxwUFA
Bolívia - Liga De Futbol Prof,19:00,Wilstermann,Nacional Potosí,https://redscores.com/pt-br/match/wilstermann-nacional-potosi/u6xNHb
Estônia - Meistriliiga,11:15,Trans,Nõmme Kalju,https://redscores.com/pt-br/match/trans-nomme-kalju/TVAxwXA
Estônia - Meistriliiga,11:30,Harju Jalgpallikool,Kuressaare,https://redscores.com/pt-br/match/kuressaare-harju-jalgpallikool/7lbxDzcA
Estônia - Meistriliiga,13:00,Levadia,Flora,https://redscores.com/pt-br/match/levadia-flora/eFAxRkb
Estônia - Meistriliiga,13:30,Tallinna Kalev,Paide,https://redscores.com/pt-br/match/tallinna-kalev-paide/8eAxbuA
Paraguai - Division 1,19:00,Cerro Porteño,Atlético Tembetary,https://redscores.com/pt-br/match/cerro-porteno-atletico-tembetary/24x14bA
Peru - Primera Division,15:00,Sporting Cristal,Alianza Atlético,https://redscores.com/pt-br/match/sporting-cristal-alianza-atletico/y1bxj6B
Peru - Primera Division,17:15,Comerciantes Unidos,Sport Huancayo,https://redscores.com/pt-br/match/comerciantes-unidos-sport-huancayo/5hBx6lB
Peru - Primera Division,21:30,Cienciano,Sport Boys,https://redscores.com/pt-br/match/cienciano-sport-boys/NrBxogc
