liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
Alemanha - Bundesliga,14:30,Stuttgart,Frankfurt,1.75,4.0,4.2,https://redscores.com/pt-br/match/eintracht-frankfurt-vfb-stuttgart/adxM3
Alemanha - Bundesliga,16:30,Hamburger,Leverkusen,3.3,3.7,2.05,https://redscores.com/pt-br/match/hamburger-sv-bayer-04-leverkusen/mwxN3
Alemanha - Bundesliga,16:30,Mainz,Heidenheim,1.7,3.6,5.25,https://redscores.com/pt-br/match/fsv-mainz-05-heidenheim/AGxMX
Alemanha - Bundesliga,16:30,Dortmund,Werder Bremen,1.36,5.25,7.5,https://redscores.com/pt-br/match/borussia-dortmund-werder-bremen/DAxKA
México - Liga MX,22:00,Pachuca,León,1.61,4.0,5.5,https://redscores.com/pt-br/match/pachuca-leon/qvbxT4b
México - Liga MX,22:00,Puebla,Mazatlán,,,,https://redscores.com/pt-br/match/puebla-mazatlan/dbAxOrCA
México - Liga MX,22:00,Necaxa,Monterrey,2.6,3.5,2.6,https://redscores.com/pt-br/match/monterrey-necaxa/TVxyBA
Arábia Saudita - Pro League,12:25,Al Akhdoud,Al Kholood,2.7,3.2,2.35,https://redscores.com/pt-br/match/al-akhdoud-al-kholood/LQAAxOQAA
Arábia Saudita - Pro League,14:30,Al Fateh,Al Riyadh,1.72,3.5,3.9,https://redscores.com/pt-br/match/al-fateh-al-riyadh/RRAxHXc
Arábia Saudita - Pro League,14:30,Damac,Al Ittihad,8.5,5.0,1.25,https://redscores.com/pt-br/match/al-ittihad-damac/zDxlXc
Inglaterra - National League,POSTP,Southend United,Gateshead,1.18,6.5,11.0,https://redscores.com/pt-br/match/southend-united-gateshead/2AxJC
Inglaterra - National League,POSTP,Eastleigh,Brackley Town,2.0,3.25,3.5,https://redscores.com/pt-br/match/eastleigh-brackley-town/NBxkh
Irlanda do Norte - Premiership,16:45,Carrick Rangers,Linfield,4.75,3.7,1.6,https://redscores.com/pt-br/match/linfield-carrick-rangers/icxDK
Irlanda do Norte - Premiership,16:45,Glentoran,Larne,2.15,3.0,3.2,https://redscores.com/pt-br/match/glentoran-larne/hgx9fB
Irlanda do Norte - Premiership,16:45,Ballymena United,Cliftonville,3.6,3.4,1.85,https://redscores.com/pt-br/match/ballymena-united-cliftonville/8JxGl
Malásia - Super League,10:00,Kelantan United,Sabah,,,,https://redscores.com/pt-br/match/sabah-kelantan-united/vUAxtGbA
Malásia - Super League,10:00,Terengganu,DPMM FC,1.44,4.5,5.0,https://redscores.com/pt-br/match/dpmm-fc-terengganu/mkxi2
País de Gales - Premier League,16:45,Penybont,Cardiff MU,1.61,3.5,4.5,https://redscores.com/pt-br/match/penybont-cardiff-mu/onxLYB
País de Gales - Premier League,16:45,Haverfordwest County,Briton Ferry,1.8,3.5,3.7,https://redscores.com/pt-br/match/haverfordwest-county-briton-ferry/2yBxrzB
País de Gales - Premier League,16:45,Flint Town United,Bala Town,1.7,3.6,4.1,https://redscores.com/pt-br/match/bala-town-flint-town-united/gkxHYB
País de Gales - Premier League,POSTP,Barry Town United,Llanelli Town,1.16,6.0,12.0,https://redscores.com/pt-br/match/barry-town-united-llanelli-town/bOxrgD
País de Gales - Premier League,16:45,The New Saints,Colwyn Bay,1.25,5.25,8.5,https://redscores.com/pt-br/match/the-new-saints-colwyn-bay/pExsk
País de Gales - Premier League,16:45,Caernarfon Town,Connah's Quay,2.75,3.5,2.1,https://redscores.com/pt-br/match/connah-s-quay-caernarfon-town/GKx1L
