liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
Inglaterra - Premier League,11:00,Brentford,Newcastle,2.9,3.5,2.35,https://redscores.com/pt-br/match/newcastle-united-brentford/kx2B
Inglaterra - Premier League,11:00,Aston Villa,Bournemouth,2.3,3.3,3.1,https://redscores.com/pt-br/match/aston-villa-afc-bournemouth/Hx1
Inglaterra - Premier League,11:00,Crystal Palace,Brighton,2.2,3.5,3.2,https://redscores.com/pt-br/match/crystal-palace-brighton-hove-albion/0xIA
Inglaterra - Premier League,11:00,Nottingham,Leeds,2.3,3.2,3.2,https://redscores.com/pt-br/match/nottingham-forest-leeds-united/bAxfA
Inglaterra - Premier League,13:30,Man City,Liverpool,1.9,3.9,3.7,https://redscores.com/pt-br/match/liverpool-manchester-city/exE
Espanha - La Liga,10:00,Athletic Club,R. Oviedo,1.53,3.7,7.5,https://redscores.com/pt-br/match/real-oviedo-athletic-club/qAxKrB
Espanha - La Liga,12:15,Rayo Vallecano,Real Madrid,5.5,5.0,1.48,https://redscores.com/pt-br/match/rayo-vallecano-real-madrid/Fdx15
Espanha - La Liga,14:30,Mallorca,Getafe,2.62,2.9,3.0,https://redscores.com/pt-br/match/getafe-mallorca/WAxRf
Espanha - La Liga,14:30,Valencia,Betis,3.3,3.4,2.2,https://redscores.com/pt-br/match/valencia-real-betis/PBx7D
Espanha - La Liga,17:00,Celta Vigo,Barcelona,4.2,4.33,1.7,https://redscores.com/pt-br/match/celta-de-vigo-fc-barcelona/sxlA
Alemanha - Bundesliga,11:30,Freiburg,St. Pauli,1.8,3.6,4.5,https://redscores.com/pt-br/match/st-pauli-sc-freiburg/YCxC7
Alemanha - Bundesliga,13:30,Stuttgart,Augsburg,1.53,4.33,6.0,https://redscores.com/pt-br/match/fc-augsburg-vfb-stuttgart/OAxM3
Alemanha - Bundesliga,15:30,Frankfurt,Mainz,1.83,4.0,3.9,https://redscores.com/pt-br/match/eintracht-frankfurt-fsv-mainz-05/adxAG
Itália - Serie A,08:30,Atalanta,Sassuolo,1.44,4.5,7.0,https://redscores.com/pt-br/match/atalanta-sassuolo/SFxpw
Itália - Serie A,11:00,Bologna,Napoli,3.0,3.0,2.55,https://redscores.com/pt-br/match/napoli-bologna/YExrIb
Itália - Serie A,11:00,Genoa,Fiorentina,2.62,3.0,2.87,https://redscores.com/pt-br/match/genoa-fiorentina/UAxYA
Itália - Serie A,14:00,Roma,Udinese,1.55,3.9,6.25,https://redscores.com/pt-br/match/roma-udinese/SxUC
Itália - Serie A,16:45,Inter,Lazio,1.36,5.0,8.5,https://redscores.com/pt-br/match/lazio-inter/VxbY
França - Ligue 1,11:00,Lorient,Toulouse,3.0,3.3,2.37,https://redscores.com/pt-br/match/toulouse-lorient/WcxXOb
França - Ligue 1,13:15,Metz,Nice,3.1,3.6,2.2,https://redscores.com/pt-br/match/nice-metz/LDxs6
França - Ligue 1,13:15,Angers,Auxerre,2.55,3.1,3.0,https://redscores.com/pt-br/match/angers-sco-auxerre/wgxl9
França - Ligue 1,13:15,Strasbourg,LOSC Lille,2.62,3.5,2.55,https://redscores.com/pt-br/match/strasbourg-losc-lille/HFxJF
