liga,hora,home,away,link_confronto
Brasil - Serie A,19:00,Atlético Mineiro,Sport Recife,https://redscores.com/pt-br/match/sport-recife-atletico-mineiro/rtxF5
Brasil - Serie A,21:00,Mirassol,Fluminense,https://redscores.com/pt-br/match/fluminense-mirassol/7Ixm9b
EUA - Major League Soccer,23:30,Los Angeles FC,Toronto,https://redscores.com/pt-br/match/toronto-los-angeles-fc/ZAx0UT
Brasil - Serie B,19:00,Operário PR,Athletic Club,https://redscores.com/pt-br/match/operario-pr-athletic-club/E7BxSebA
Brasil - Serie B,19:00,Cuiabá,Novorizontino,https://redscores.com/pt-br/match/cuiaba-novorizontino/roAxnVA
Brasil - Serie B,21:00,Avaí,Volta Redonda,https://redscores.com/pt-br/match/avai-volta-redonda/bWAx1DB
Brasil - Serie B,21:30,América Mineiro,Vila Nova,https://redscores.com/pt-br/match/america-mineiro-vila-nova/vvAxXgB
Colômbia - Liga BetPlay,17:30,Rionegro Águilas,Independiente Medellín,https://redscores.com/pt-br/match/rionegro-aguilas-independiente-medellin/ZbxNC
Coréia do Sul - K League 2,02:00,Cheonan City,Busan I'Park,https://redscores.com/pt-br/match/busan-i-park-cheonan-city/dwxdYc
Coréia do Sul - K League 2,02:00,Gyeongnam,Jeonnam Dragons,https://redscores.com/pt-br/match/jeonnam-dragons-gyeongnam/Uebx2eb
Coréia do Sul - K League 2,02:00,Incheon United,Suwon Bluewings,https://redscores.com/pt-br/match/suwon-bluewings-incheon-united/YtxO1A
Coréia do Sul - K League 2,04:30,Bucheon 1995,Seongnam,https://redscores.com/pt-br/match/seongnam-bucheon-1995/d8xU8A
Coréia do Sul - K League 2,04:30,Ansan Greeners,Chungnam Asan,https://redscores.com/pt-br/match/ansan-greeners-chungnam-asan/uuAxaYc
