liga,hora,home,away,link_confronto
Brasil - Serie A,18:30,Fluminense,Atlético Mineiro,https://redscores.com/pt-br/match/fluminense-atletico-mineiro/7IxF5
Brasil - Serie A,18:30,Internacional,Botafogo,https://redscores.com/pt-br/match/internacional-botafogo/gwx7X
Brasil - Serie A,18:30,Bragantino,Grêmio,https://redscores.com/pt-br/match/gremio-bragantino/7yxadb
Brasil - Serie A,21:00,Corinthians,Mirassol,https://redscores.com/pt-br/match/corinthians-mirassol/8cxm9b
EUA - Major League Soccer,15:30,CF Montréal,Nashville SC,https://redscores.com/pt-br/match/cf-montreal-nashville-sc/HaAxAYT
EUA - Major League Soccer,15:30,DC United,Charlotte,https://redscores.com/pt-br/match/dc-united-charlotte/9bxH4eA
EUA - Major League Soccer,17:30,Dallas,LA Galaxy,https://redscores.com/pt-br/match/la-galaxy-dallas/ydxrE
EUA - Major League Soccer,20:30,Inter Miami,New England,https://redscores.com/pt-br/match/new-england-inter-miami/Pfx3IBA
EUA - Major League Soccer,20:30,Philadelphia Union,New York City,https://redscores.com/pt-br/match/philadelphia-union-new-york-city/Pcxo8
EUA - Major League Soccer,20:30,Orlando City,Columbus Crew,https://redscores.com/pt-br/match/orlando-city-columbus-crew/KBxoE
EUA - Major League Soccer,20:30,New York RB,Cincinnati,https://redscores.com/pt-br/match/new-york-rb-cincinnati/IdxS8
EUA - Major League Soccer,21:30,Minnesota United,Sporting KC,https://redscores.com/pt-br/match/sporting-kc-minnesota-united/jCxu8
EUA - Major League Soccer,21:30,Chicago Fire,Toronto,https://redscores.com/pt-br/match/chicago-fire-toronto/hAxZA
EUA - Major League Soccer,21:30,Austin,St. Louis City,https://redscores.com/pt-br/match/austin-st-louis-city/XjDAx7ZfA
EUA - Major League Soccer,21:30,Houston Dynamo,San Diego,https://redscores.com/pt-br/match/houston-dynamo-san-diego/0Dx1cGA
EUA - Major League Soccer,22:30,Real Salt Lake,Colorado Rapids,https://redscores.com/pt-br/match/colorado-rapids-real-salt-lake/6bxMI
EUA - Major League Soccer,23:30,Seattle Sounders,Portland Timbers,https://redscores.com/pt-br/match/portland-timbers-seattle-sounders/7ExnV
Noruega - Eliteserien,09:00,Vålerenga,Tromsø,https://redscores.com/pt-br/match/valerenga-tromso/hexw6A
Noruega - Eliteserien,11:00,Sandefjord,Bryne,https://redscores.com/pt-br/match/sandefjord-bryne/Dfx1Kb
Noruega - Eliteserien,13:00,Kristiansund,Molde,https://redscores.com/pt-br/match/molde-kristiansund/XcxHh
Suécia - Allsvenskan,10:00,Degerfors,Djurgården,https://redscores.com/pt-br/match/djurgarden-degerfors/iDxeW
Suécia - Allsvenskan,10:00,Öster,Halmstad,https://redscores.com/pt-br/match/halmstad-oster/zFxEy
Suécia - Allsvenskan,10:00,Mjällby,Elfsborg,https://redscores.com/pt-br/match/mjallby-elfsborg/Wdxdk
