liga,hora,home,away,link_confronto
Brasil - Serie A,19:30,Vasco da Gama,Bahia,https://redscores.com/pt-br/match/bahia-vasco-da-gama/KFxMF
Brasil - Serie A,19:30,Grêmio,Botafogo,https://redscores.com/pt-br/match/botafogo-gremio/7Xx7y
EUA - Major League Soccer,20:30,New York City,Inter Miami,https://redscores.com/pt-br/match/new-york-city-inter-miami/o8x3IBA
EUA - Major League Soccer,23:30,Vancouver Whitecaps,Portland Timbers,https://redscores.com/pt-br/match/vancouver-whitecaps-portland-timbers/Ycx7E
Bolívia - Liga De Futbol Prof,16:00,Nacional Potosí,Gualberto Villarroel SJ,https://redscores.com/pt-br/match/nacional-potosi-gualberto-villarroel-sj/NHbxwUFA
Bolívia - Liga De Futbol Prof,19:30,Wilstermann,Blooming,https://redscores.com/pt-br/match/wilstermann-blooming/u6xc3A
Bolívia - Liga De Futbol Prof,21:30,Real Tomayapo,Always Ready,https://redscores.com/pt-br/match/always-ready-real-tomayapo/J7AAxDTdA
Brasil - Serie B,19:00,Athletic Club,Athletico PR,https://redscores.com/pt-br/match/athletico-pr-athletic-club/i5xSebA
Brasil - Serie B,19:00,CRB,Botafogo SP,https://redscores.com/pt-br/match/botafogo-sp-crb/VAxNuA
Brasil - Serie B,19:00,Vila Nova,Cuiabá,https://redscores.com/pt-br/match/cuiaba-vila-nova/roAxXgB
Brasil - Serie B,20:00,Operário PR,Amazonas,https://redscores.com/pt-br/match/operario-pr-amazonas/E7BxvgBA
Brasil - Serie B,21:30,Volta Redonda,Remo,https://redscores.com/pt-br/match/remo-volta-redonda/KdBx1DB
Colômbia - Liga BetPlay,22:00,Deportivo Pasto,América de Cali,https://redscores.com/pt-br/match/america-de-cali-deportivo-pasto/7ObxlNB
Estônia - Meistriliiga,12:00,Harju Jalgpallikool,Nõmme Kalju,https://redscores.com/pt-br/match/nomme-kalju-harju-jalgpallikool/wXAxDzcA
Estônia - Meistriliiga,13:00,Flora,Levadia,https://redscores.com/pt-br/match/levadia-flora/eFAxRkb
Inglaterra - National League,15:45,Scunthorpe,Boreham Wood,https://redscores.com/pt-br/match/scunthorpe-united-boreham-wood/uAxli
Inglaterra - National League,15:45,Boston United,Braintree Town,https://redscores.com/pt-br/match/boston-united-braintree-town/ABxRH
Inglaterra - National League,15:45,Morecambe,Halifax Town,https://redscores.com/pt-br/match/halifax-town-morecambe/Ufxug
Inglaterra - National League,15:45,Eastleigh,Southend United,https://redscores.com/pt-br/match/southend-united-eastleigh/2AxNB
Inglaterra - National League,15:45,Aldershot Town,Yeovil Town,https://redscores.com/pt-br/match/aldershot-town-yeovil-town/FBxIc
Inglaterra - National League,15:45,Tamworth,Wealdstone,https://redscores.com/pt-br/match/tamworth-wealdstone/Vbxec
Lituânia - A Lyga,13:00,Kauno Žalgiris,Sūduva,https://redscores.com/pt-br/match/kauno-zalgiris-suduva/GHxlRA
Suécia - Superettan,14:00,Landskrona,Kalmar,https://redscores.com/pt-br/match/kalmar-landskrona/CDxbE
Suécia - Superettan,14:00,Örebro,Varberg BoIS,https://redscores.com/pt-br/match/orebro-varberg-bois/7KxPSB
Suécia - Superettan,14:00,Oddevold,Falkenberg,https://redscores.com/pt-br/match/falkenberg-oddevold/50xPlb
Suécia - Superettan,14:00,Brage,GIF Sundsvall,https://redscores.com/pt-br/match/brage-gif-sundsvall/vKbxOob
