liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
Inglaterra - Premier League,12:00,Brighton,Leeds,1.9,3.7,3.8,https://redscores.com/pt-br/match/leeds-united-brighton-hove-albion/fAxIA
Inglaterra - Premier League,12:00,Crystal Palace,Brentford,1.9,3.6,3.9,https://redscores.com/pt-br/match/crystal-palace-brentford/0x2B
Inglaterra - Premier League,12:00,Fulham,Wolves,1.83,3.5,4.5,https://redscores.com/pt-br/match/fulham-wolverhampton-wanderers/FxO
Inglaterra - Premier League,12:00,Burnley,Arsenal,10.0,6.25,1.25,https://redscores.com/pt-br/match/arsenal-burnley/JxN
Inglaterra - Premier League,12:00,Nottingham,Manchester United,3.4,3.75,2.0,https://redscores.com/pt-br/match/manchester-united-nottingham-forest/hxbA
Inglaterra - Premier League,14:30,Tottenham,Chelsea,2.7,3.5,2.5,https://redscores.com/pt-br/match/tottenham-hotspur-chelsea/dxj
Inglaterra - Premier League,17:00,Liverpool,Aston Villa,1.65,4.5,4.5,https://redscores.com/pt-br/match/liverpool-aston-villa/exH
Espanha - La Liga,10:00,Villarreal,Rayo Vallecano,1.7,3.8,5.0,https://redscores.com/pt-br/match/rayo-vallecano-villarreal/Fdxa6
Espanha - La Liga,12:15,Atlético Madrid,Sevilla,1.33,5.0,9.0,https://redscores.com/pt-br/match/sevilla-atletico-madrid/CFxZeb
Espanha - La Liga,14:30,Real Sociedad,Athletic Club,2.7,3.0,2.8,https://redscores.com/pt-br/match/real-sociedad-athletic-club/WExKrB
Espanha - La Liga,17:00,Real Madrid,Valencia,1.18,7.5,15.0,https://redscores.com/pt-br/match/valencia-real-madrid/PBx15
Alemanha - Bundesliga,11:30,St. Pauli,M'Gladbach,2.2,3.5,3.25,https://redscores.com/pt-br/match/st-pauli-borussia-monchengladbach/YCxgF
Alemanha - Bundesliga,11:30,RB Leipzig,Stuttgart,2.0,3.9,3.4,https://redscores.com/pt-br/match/rb-leipzig-vfb-stuttgart/QcxM3
Alemanha - Bundesliga,11:30,Mainz,Werder Bremen,1.95,3.9,3.5,https://redscores.com/pt-br/match/werder-bremen-fsv-mainz-05/KAxAG
Alemanha - Bundesliga,11:30,Heidenheim,Frankfurt,3.6,4.0,1.9,https://redscores.com/pt-br/match/eintracht-frankfurt-heidenheim/adxMX
Alemanha - Bundesliga,11:30,Union Berlin,Freiburg,2.5,3.3,2.75,https://redscores.com/pt-br/match/fc-union-berlin-sc-freiburg/vIxC7
Alemanha - Bundesliga,14:30,Bayern,Leverkusen,1.22,7.0,9.5,https://redscores.com/pt-br/match/fc-bayern-munchen-bayer-04-leverkusen/HexN3
Itália - Serie A,11:00,Udinese,Atalanta,4.75,3.7,1.75,https://redscores.com/pt-br/match/udinese-atalanta/UCxSF
Itália - Serie A,14:00,Napoli,Como,1.95,3.1,4.5,https://redscores.com/pt-br/match/como-napoli/mcxYE
Itália - Serie A,16:45,Cremonese,Juventus,5.75,4.2,1.55,https://redscores.com/pt-br/match/juventus-cremonese/Hfxy2b
França - Ligue 1,13:00,PSG,Nice,1.2,7.0,12.0,https://redscores.com/pt-br/match/nice-paris-saint-germain/LDxvE
França - Ligue 1,15:00,Monaco,Paris,1.66,4.33,4.33,https://redscores.com/pt-br/match/paris-monaco/4gAxjZA
França - Ligue 1,17:05,Auxerre,Marseille,4.75,4.0,1.66,https://redscores.com/pt-br/match/olympique-marseille-auxerre/wxl9
Países Baixos - Eredivisie,12:30,Ajax,Heerenveen,1.57,4.5,5.0,https://redscores.com/pt-br/match/ajax-sc-heerenveen/JfxiI
Países Baixos - Eredivisie,14:45,NAC Breda,G. A. Eagle,2.25,3.4,2.7,https://redscores.com/pt-br/match/nac-breda-go-ahead-eagles/Nfx3f
Países Baixos - Eredivisie,16:00,Feyenoord,FC Volendam,1.12,8.0,19.0,https://redscores.com/pt-br/match/feyenoord-fc-volendam/gAxIT
Países Baixos - Eredivisie,17:00,Telstar,Excelsior,2.1,3.6,3.2,https://redscores.com/pt-br/match/telstar-excelsior/MMxCN
Portugal - Primeira Liga,12:30,Nacional,Famalicão,3.3,3.25,2.2,https://redscores.com/pt-br/match/famalicao-nacional/Z0xk3A
Portugal - Primeira Liga,15:00,Casa Pia,Estrela Amadora,2.0,3.1,4.1,https://redscores.com/pt-br/match/casa-pia-estrela-amadora/OEBxGiB
Portugal - Primeira Liga,15:00,Rio Ave,Estoril,2.37,3.2,3.1,https://redscores.com/pt-br/match/estoril-rio-ave/TJxQVA
Portugal - Primeira Liga,17:30,Guimaraes,Benfica,5.75,4.75,1.45,https://redscores.com/pt-br/match/benfica-vitoria-sc/5ExSG
Turquia - Super Lig,11:00,Göztepe,Gençlerbirliği,1.44,4.2,7.5,https://redscores.com/pt-br/match/genclerbirligi-goztepe/vcx3bA
Turquia - Super Lig,14:00,Galatasaray,Trabzonspor,1.44,4.75,6.0,https://redscores.com/pt-br/match/galatasaray-trabzonspor/rxIF
Brasil - Serie A,16:00,Santos,Fortaleza,1.61,3.8,5.75,https://redscores.com/pt-br/match/fortaleza-santos/l8xm9
Brasil - Serie A,16:00,Cruzeiro,Vitória,1.45,4.2,7.5,https://redscores.com/pt-br/match/cruzeiro-vitoria/i4xm5
Brasil - Serie A,18:00,Mirassol,Botafogo,2.25,3.4,3.2,https://redscores.com/pt-br/match/botafogo-mirassol/7Xxm9b
Brasil - Serie A,21:00,Flamengo,Sport Recife,1.12,7.0,21.0,https://redscores.com/pt-br/match/flamengo-sport-recife/Yixrt
EUA - Major League Soccer,16:30,New York City,Charlotte,1.72,3.75,4.75,https://redscores.com/pt-br/match/new-york-city-charlotte/o8xH4eA
EUA - Major League Soccer,18:30,Chicago Fire,Philadelphia Union,2.15,3.6,3.2,https://redscores.com/pt-br/match/chicago-fire-philadelphia-union/hAxPc
EUA - Major League Soccer,20:30,Nashville SC,Inter Miami,2.55,3.7,2.55,https://redscores.com/pt-br/match/nashville-sc-inter-miami/AYTx3IBA
EUA - Major League Soccer,22:30,Dallas,Vancouver Whitecaps,,,,https://redscores.com/pt-br/match/vancouver-whitecaps-dallas/YcxrE
EUA - Major League Soccer,22:30,Portland Timbers,San Diego,,,,https://redscores.com/pt-br/match/portland-timbers-san-diego/7Ex1cGA
Bélgica - Pro League,12:00,Zulte-Waregem,Union Saint-Gilloise,4.75,4.2,1.6,https://redscores.com/pt-br/match/zulte-waregem-union-saint-gilloise/kjx3BA
Bélgica - Pro League,14:15,Club Brugge,Dender,1.25,6.0,9.0,https://redscores.com/pt-br/match/club-brugge-dender/RCx6w
Bélgica - Pro League,16:45,Anderlecht,Mechelen,1.6,4.0,5.0,https://redscores.com/pt-br/match/anderlecht-mechelen/3UxfY
Escócia - Premiership,POSTP,Dundee United,Celtic,,,,https://redscores.com/pt-br/match/celtic-dundee-united/2xtc
Escócia - Premiership,12:00,Hearts,Dundee,1.28,5.25,10.0,https://redscores.com/pt-br/match/dundee-hearts/ucxEC
Escócia - Premiership,12:00,Falkirk,Kilmarnock,2.05,3.6,3.25,https://redscores.com/pt-br/match/kilmarnock-falkirk/7bxtg
Escócia - Premiership,POSTP,Livingston,St. Mirren,,,,https://redscores.com/pt-br/match/livingston-st-mirren/hcxee
Escócia - Premiership,POSTP,Motherwell,Hibernian,,,,https://redscores.com/pt-br/match/hibernian-motherwell/CAxcC
Escócia - Premiership,12:00,Rangers,Aberdeen,,,,https://redscores.com/pt-br/match/rangers-aberdeen/AAxOc
Escócia - Premiership,12:00,Livingston,Hibernian,3.8,3.6,1.9,https://redscores.com/pt-br/match/hibernian-livingston/CAxhc
Escócia - Premiership,12:00,Motherwell,Hibernian,,,,https://redscores.com/pt-br/match/hibernian-motherwell/CAxcC
Escócia - Premiership,12:00,Dundee United,Celtic,,,,https://redscores.com/pt-br/match/celtic-dundee-united/2xtc
Escócia - Premiership,12:00,Livingston,St. Mirren,,,,https://redscores.com/pt-br/match/livingston-st-mirren/hcxee
Inglaterra - Championship,09:30,Leicester,Blackburn,1.85,3.8,3.8,https://redscores.com/pt-br/match/blackburn-rovers-leicester-city/bxv
Inglaterra - Championship,09:30,West Brom,Sheffield Wed,1.5,4.33,6.0,https://redscores.com/pt-br/match/west-bromwich-albion-sheffield-wednesday/fx5
Inglaterra - Championship,09:30,Norwich,Hull,2.1,3.8,3.1,https://redscores.com/pt-br/match/hull-city-norwich-city/lxQ
Inglaterra - Championship,12:00,Charlton,Swansea,1.95,3.5,3.7,https://redscores.com/pt-br/match/charlton-athletic-swansea-city/cxp
Inglaterra - Championship,12:00,Oxford Utd,Millwall,2.7,3.3,2.55,https://redscores.com/pt-br/match/millwall-oxford-united/BAx2c
Inglaterra - Championship,12:00,Stoke,Bristol City,2.37,3.3,2.9,https://redscores.com/pt-br/match/stoke-city-bristol-city/nxab
Inglaterra - Championship,12:00,Watford,Middlesbrough,2.55,3.4,2.62,https://redscores.com/pt-br/match/middlesbrough-watford/DxM
Inglaterra - Championship,12:00,Sheffield Utd,Derby,1.72,3.6,4.75,https://redscores.com/pt-br/match/sheffield-united-derby-county/Kxm
Inglaterra - Championship,12:00,Birmingham,Portsmouth,1.72,3.7,4.75,https://redscores.com/pt-br/match/portsmouth-birmingham-city/Cxg
Inglaterra - Championship,12:00,QPR,Ipswich,3.4,3.4,2.1,https://redscores.com/pt-br/match/queens-park-rangers-ipswich-town/yx4A
Inglaterra - Championship,12:00,Southampton,Preston,1.7,3.9,4.5,https://redscores.com/pt-br/match/southampton-preston-north-end/cAxtA
Espanha - La Liga 2,12:15,Cultural Leonesa,Mirandés,2.0,3.2,3.9,https://redscores.com/pt-br/match/mirandes-cultural-leonesa/h2AxeBB
Espanha - La Liga 2,14:30,Albacete,Huesca,2.15,3.1,3.6,https://redscores.com/pt-br/match/huesca-albacete/pcx70
Espanha - La Liga 2,14:30,Leganés,Burgos,2.05,3.1,4.0,https://redscores.com/pt-br/match/leganes-burgos/0GxEHb
Espanha - La Liga 2,17:00,Almería,Eibar,1.72,3.6,4.75,https://redscores.com/pt-br/match/sd-eibar-almeria/9xef
Itália - Serie B,08:30,Avellino,Reggiana,1.9,3.5,4.0,https://redscores.com/pt-br/match/reggiana-avellino/Myxj1A
Itália - Serie B,11:00,Calcio Padova,Südtirol,2.4,3.0,3.2,https://redscores.com/pt-br/match/sudtirol-calcio-padova/3bxs7CA
Itália - Serie B,11:00,Carrarese,Frosinone,2.45,3.25,2.87,https://redscores.com/pt-br/match/frosinone-carrarese/wCAxJCb
Itália - Serie B,13:15,Virtus Entella,Empoli,2.4,3.0,3.2,https://redscores.com/pt-br/match/empoli-virtus-entella/Pdxfdb
Itália - Serie B,15:30,Palermo,Pescara,1.48,4.5,5.75,https://redscores.com/pt-br/match/palermo-pescara/6JxAl
Alemanha - 2. Bundesliga,09:00,Hertha,Dynamo Dresden,1.9,3.5,3.9,https://redscores.com/pt-br/match/dynamo-dresden-hertha-bsc/uIxL3
Alemanha - 2. Bundesliga,09:00,Nürnberg,Eintracht Braunschweig,1.72,3.8,4.5,https://redscores.com/pt-br/match/nurnberg-eintracht-braunschweig/UHxN7
Alemanha - 2. Bundesliga,09:00,Karlsruher,Schalke,2.8,3.1,2.6,https://redscores.com/pt-br/match/schalke-04-karlsruher-sc/dAxB0
Alemanha - 2. Bundesliga,16:30,Darmstadt,Bielefeld,1.85,4.1,3.5,https://redscores.com/pt-br/match/darmstadt-98-dsc-arminia-bielefeld/4Dx9y
França - Ligue 2,10:00,Amiens,Grenoble,2.8,3.2,2.55,https://redscores.com/pt-br/match/amiens-sc-grenoble-foot-38/yGxHJ
França - Ligue 2,10:00,Reims,Dunkerque,2.1,3.2,3.6,https://redscores.com/pt-br/match/reims-dunkerque/1ixaK
França - Ligue 2,16:00,Red Star,Saint-Étienne,2.75,3.3,2.45,https://redscores.com/pt-br/match/saint-etienne-red-star/yAxXI
Países Baixos - Eerste Divisie,12:30,Roda Kerkrade,Jong Utrecht,1.53,4.75,4.75,https://redscores.com/pt-br/match/roda-jc-kerkrade-jong-utrecht/ntxfW
Países Baixos - Eerste Divisie,16:00,Cambuur,Jong Ajax,1.28,5.75,8.0,https://redscores.com/pt-br/match/sc-cambuur-jong-ajax/qLxtW
Áustria - Tipico Bundesliga,13:00,Grazer,Altach,3.0,3.4,2.3,https://redscores.com/pt-br/match/rheindorf-altach-grazer-ak/WBAx0qA
Áustria - Tipico Bundesliga,13:00,BW Linz,LASK Linz,3.2,3.4,2.2,https://redscores.com/pt-br/match/blau-weis-linz-lask-linz/d3xh4
Áustria - Tipico Bundesliga,13:00,Hartberg,Austria Wien,3.4,3.4,2.1,https://redscores.com/pt-br/match/austria-wien-hartberg/P8xRQA
Suíça - Super League,14:00,Winterthur,Servette,4.1,3.9,1.8,https://redscores.com/pt-br/match/servette-winterthur/jqxY6
Suíça - Super League,14:00,Thun,Sion,1.9,3.6,3.7,https://redscores.com/pt-br/match/sion-thun/RDxU1b
Suíça - Super League,16:30,Zürich,Lausanne Sport,2.2,3.6,3.0,https://redscores.com/pt-br/match/zurich-lausanne-sport/LdxTt
Dinamarca - Superliga,14:00,FC Copenhagen,Fredericia,1.18,8.0,10.0,https://redscores.com/pt-br/match/fc-copenhagen-fredericia/mAxCY
Noruega - Eliteserien,12:00,Vålerenga,Bodø / Glimt,5.5,4.75,1.48,https://redscores.com/pt-br/match/valerenga-bodo-glimt/hexKN
Noruega - Eliteserien,14:00,Molde,Rosenborg,1.95,3.8,3.5,https://redscores.com/pt-br/match/molde-rosenborg/Xcx3K
Suécia - Allsvenskan,11:00,Häcken,Malmö FF,2.62,3.5,2.5,https://redscores.com/pt-br/match/malmo-ff-hacken/zCxrU
Suécia - Allsvenskan,13:30,Norrköping,Sirius,2.55,3.7,2.5,https://redscores.com/pt-br/match/sirius-norrkoping/4Vxc8
Argentina - Superliga,14:45,Aldosivi,Independiente Rivadavia,2.5,2.8,3.4,https://redscores.com/pt-br/match/independiente-rivadavia-aldosivi/JGx2Tb
Argentina - Superliga,16:00,Barracas Central,Argentinos Juniors,3.5,3.2,2.2,https://redscores.com/pt-br/match/argentinos-juniors-barracas-central/t4x3gb
Argentina - Superliga,17:00,Vélez Sarsfield,Talleres Córdoba,2.05,3.2,3.9,https://redscores.com/pt-br/match/velez-sarsfield-talleres-cordoba/lubx5Ub
Argentina - Superliga,20:00,Independiente,Atlético Tucumán,1.8,3.4,4.75,https://redscores.com/pt-br/match/atletico-tucuman-independiente/a2bxV4b
México - Liga MX,00:00,Atlético San Luis,Juárez,2.2,3.3,3.3,https://redscores.com/pt-br/match/juarez-atletico-san-luis/1vAxofc
México - Liga MX,00:05,Puebla,Cruz Azul,5.5,4.0,1.6,https://redscores.com/pt-br/match/cruz-azul-puebla/BVxdbA
México - Liga MX,20:00,Atlas,Toluca,4.75,4.5,1.6,https://redscores.com/pt-br/match/atlas-toluca/EFx1H
México - Liga MX,22:05,Monterrey,Tigres UANL,1.5,3.0,1.5,https://redscores.com/pt-br/match/tigres-uanl-monterrey/9ExTV
Grécia - Super League,13:00,Volos NFC,Panathinaikos,5.75,3.7,1.6,https://redscores.com/pt-br/match/panathinaikos-volos-nfc/6xifs
Grécia - Super League,14:30,Atromitos,Kifisia,2.25,3.1,3.4,https://redscores.com/pt-br/match/atromitos-kifisia/oTbxCPD
Grécia - Super League,15:00,Olympiakos,Aris,1.33,4.5,10.0,https://redscores.com/pt-br/match/olympiakos-piraeus-aris/2ExNTb
