data,liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
2026-03-28,Inglaterra - League One,12:00,Reading,Wigan,2.2,3.3,3.2,https://redscores.com/pt-br/match/wigan-athletic-reading/IxL
2026-03-28,Inglaterra - League One,12:00,Stockport County,Wimbledon,1.61,3.9,5.0,https://redscores.com/pt-br/match/stockport-county-afc-wimbledon/Ccx6c
2026-03-28,Inglaterra - League One,12:00,Blackpool,Burton,2.4,3.3,2.87,https://redscores.com/pt-br/match/blackpool-burton-albion/oxob
2026-03-28,Inglaterra - League One,12:00,Exeter,Leyton Orient,2.35,3.5,2.75,https://redscores.com/pt-br/match/exeter-city-leyton-orient/bBxZc
2026-03-28,Inglaterra - League One,12:00,Wycombe,Port Vale,1.55,4.0,5.5,https://redscores.com/pt-br/match/wycombe-wanderers-port-vale/aBxVC
2026-03-28,Inglaterra - League Two,09:30,Harrogate,Notts County,3.9,3.5,1.9,https://redscores.com/pt-br/match/notts-county-harrogate-town/SAxid
2026-03-28,Inglaterra - League Two,12:00,Barrow,Bromley,3.3,3.4,2.1,https://redscores.com/pt-br/match/bromley-barrow/1cxGd
2026-03-28,Inglaterra - League Two,12:00,Newport,Shrewsbury,2.3,3.2,3.1,https://redscores.com/pt-br/match/newport-county-shrewsbury-town/FAxqb
2026-03-28,Inglaterra - League Two,12:00,Barnet,Cambridge,2.7,3.1,2.6,https://redscores.com/pt-br/match/cambridge-united-barnet/zBxGC
2026-03-28,Inglaterra - League Two,12:00,Swindon,Fleetwood,2.0,3.5,3.4,https://redscores.com/pt-br/match/swindon-town-fleetwood-town/UcxgC
2026-03-28,Inglaterra - League Two,12:00,Crawley,Gillingham,2.2,3.3,3.2,https://redscores.com/pt-br/match/crawley-town-gillingham/lBxbC
2026-03-28,Inglaterra - League Two,12:00,Bristol Rovers,Accrington,1.75,3.6,4.5,https://redscores.com/pt-br/match/bristol-rovers-accrington-stanley/yBxOd
2026-03-28,Inglaterra - League Two,12:00,Colchester,Walsall,2.3,3.0,3.4,https://redscores.com/pt-br/match/colchester-united-walsall/GAxHA
2026-03-28,Inglaterra - League Two,12:00,Crewe,Oldham,2.62,3.2,2.7,https://redscores.com/pt-br/match/crewe-alexandra-oldham-athletic/nAxRB
2026-03-28,Inglaterra - League Two,12:00,Salford,MK Dons,3.0,3.2,2.35,https://redscores.com/pt-br/match/salford-city-milton-keynes-dons/DbxsC
2026-03-28,Espanha - La Liga 2,10:00,Ceuta,Cádiz,2.25,3.3,3.1,https://redscores.com/pt-br/match/cadiz-ceuta/5ZAxeJB
2026-03-28,Espanha - La Liga 2,12:15,Valladolid,Burgos,2.15,3.1,3.5,https://redscores.com/pt-br/match/real-valladolid-burgos/5CxEHb
2026-03-28,Espanha - La Liga 2,12:15,Granada,Huesca,1.8,3.3,4.75,https://redscores.com/pt-br/match/granada-huesca/vAxpc
2026-03-28,Espanha - La Liga 2,14:30,Málaga,Leganés,1.95,3.5,3.75,https://redscores.com/pt-br/match/malaga-leganes/cbx0G
2026-03-28,Espanha - La Liga 2,17:00,Albacete,Castellón,2.9,3.4,2.37,https://redscores.com/pt-br/match/albacete-castellon/70xcvb
2026-03-28,Espanha - La Liga 2,17:00,Gijón,Deportivo La Coruña,2.37,3.0,3.0,https://redscores.com/pt-br/match/sporting-gijon-deportivo-la-coruna/TCxbD
2026-03-28,Países Baixos - Eerste Divisie,14:45,Willem II,De Graafschap,2.2,4.0,2.75,https://redscores.com/pt-br/match/willem-ii-de-graafschap/8fxsI
2026-03-28,Países Baixos - Eerste Divisie,17:00,Eindhoven,FC Emmen,2.1,3.6,3.1,https://redscores.com/pt-br/match/fc-eindhoven-fc-emmen/HCxRu
2026-03-28,Argentina - Primera B Nacional,15:00,Atlanta,Ferro Carril Oeste,1.95,2.9,4.75,https://redscores.com/pt-br/match/ferro-carril-oeste-atlanta/f3Ax5vb
2026-03-28,Argentina - Primera B Nacional,15:30,Almagro,Deportivo Morón,3.6,2.5,2.62,https://redscores.com/pt-br/match/almagro-deportivo-moron/34BxE5B
2026-03-28,Argentina - Primera B Nacional,16:00,Almirante Brown,Tristán Suárez,2.62,2.62,3.25,https://redscores.com/pt-br/match/almirante-brown-tristan-suarez/lMBxa5B
2026-03-28,Argentina - Primera B Nacional,20:00,Colegiales,San Miguel,2.87,2.75,2.87,https://redscores.com/pt-br/match/colegiales-san-miguel/fIBxQ5B
2026-03-28,Colômbia - Liga BetPlay,18:00,Cúcuta Deportivo,Boyacá Chicó,1.66,3.5,5.5,https://redscores.com/pt-br/match/boyaca-chico-cucuta-deportivo/s5BxC6B
2026-03-28,Colômbia - Liga BetPlay,20:10,Deportes Tolima,Jaguares de Córdoba,1.38,4.33,9.5,https://redscores.com/pt-br/match/deportes-tolima-jaguares-de-cordoba/IWbxwKB
2026-03-28,Colômbia - Liga BetPlay,22:20,Deportivo Cali,Deportivo Pereira,1.36,4.2,11.0,https://redscores.com/pt-br/match/deportivo-cali-deportivo-pereira/b6xMGb
2026-03-28,Coréia do Sul - K-League 1,03:00,Pohang Steelers,Gangwon,3.0,2.9,2.4,https://redscores.com/pt-br/match/pohang-steelers-gangwon/vmxh7A
2026-03-28,Coréia do Sul - K League 2,02:00,Chungnam Asan,Hwaseong,2.05,3.25,3.4,https://redscores.com/pt-br/match/chungnam-asan-hwaseong/aYcx44c
2026-03-28,Coréia do Sul - K League 2,02:00,Yongin City,Suwon Bluewings,5.5,3.7,1.5,https://redscores.com/pt-br/match/suwon-bluewings-yongin-city/Ytxd2c
2026-03-28,Coréia do Sul - K League 2,04:30,Ansan Greeners,Gyeongnam,2.7,3.2,2.5,https://redscores.com/pt-br/match/ansan-greeners-gyeongnam/uuAx2eb
2026-03-28,Coréia do Sul - K League 2,04:30,Cheonan City,Jeonnam Dragons,3.25,3.25,2.1,https://redscores.com/pt-br/match/jeonnam-dragons-cheonan-city/UebxdYc
2026-03-28,Coréia do Sul - K League 2,04:30,Seongnam,Gimpo,2.5,3.0,3.0,https://redscores.com/pt-br/match/seongnam-gimpo/d8x05c
2026-03-28,Escócia - Championship,10:00,St. Johnstone,Queen's Park,1.25,4.75,9.5,https://redscores.com/pt-br/match/st-johnstone-queen-s-park/bgxCZb
2026-03-28,Escócia - Championship,10:00,Greenock Morton,Arbroath,2.9,3.0,2.2,https://redscores.com/pt-br/match/greenock-morton-arbroath/ddxTN
2026-03-28,Escócia - League One,11:00,East Fife,Stenhousemuir,5.0,3.5,1.6,https://redscores.com/pt-br/match/stenhousemuir-east-fife/UBxqc
2026-03-28,Escócia - League One,12:00,Hamilton Academical,Kelty Hearts,1.75,3.5,3.9,https://redscores.com/pt-br/match/hamilton-academical-kelty-hearts/QCxC3d
