liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
Escócia - Premiership,16:45,Livingston,St. Mirren,2.8,3.3,2.45,https://redscores.com/pt-br/match/livingston-st-mirren/hcxee
Inglaterra - Championship,16:45,West Brom,Norwich,1.95,3.7,3.6,https://redscores.com/pt-br/match/west-bromwich-albion-norwich-city/fxQ
Inglaterra - Championship,16:45,Charlton,Derby,2.7,3.0,2.8,https://redscores.com/pt-br/match/charlton-athletic-derby-county/cxm
Inglaterra - Championship,16:45,Ipswich,Bristol City,1.66,3.75,5.0,https://redscores.com/pt-br/match/ipswich-town-bristol-city/4Axab
Inglaterra - Championship,16:45,Oxford Utd,QPR,2.7,3.3,2.55,https://redscores.com/pt-br/match/queens-park-rangers-oxford-united/yx2c
Inglaterra - Championship,16:45,Sheffield Wed,Birmingham,6.25,4.1,1.5,https://redscores.com/pt-br/match/birmingham-city-sheffield-wednesday/gx5
Inglaterra - Championship,16:45,Swansea,Blackburn,2.2,3.2,3.4,https://redscores.com/pt-br/match/blackburn-rovers-swansea-city/bxp
Inglaterra - Championship,16:45,Coventry,Millwall,1.72,3.7,4.75,https://redscores.com/pt-br/match/millwall-coventry-city/BAx5A
Inglaterra - Championship,16:45,Preston,Hull,2.15,3.4,3.3,https://redscores.com/pt-br/match/hull-city-preston-north-end/lxtA
Inglaterra - Championship,17:00,Wrexham,Leicester,2.2,3.5,3.1,https://redscores.com/pt-br/match/leicester-city-wrexham/vxTc
Inglaterra - League One,16:45,Stevenage,Bolton,3.5,3.3,2.05,https://redscores.com/pt-br/match/bolton-wanderers-stevenage/ixVd
Inglaterra - League Two,POSTP,Grimsby Town,Salford,,,,https://redscores.com/pt-br/match/salford-city-grimsby-town/DbxHB
África do Sul - Premier League,14:30,Kaizer Chiefs,Golden Arrows,1.48,3.8,6.5,https://redscores.com/pt-br/match/golden-arrows-kaizer-chiefs/pMxuU
África do Sul - Premier League,14:30,Sekhukhune United,Stellenbosch,2.2,2.8,3.4,https://redscores.com/pt-br/match/stellenbosch-sekhukhune-united/2ZxKTdA
Arábia Saudita - Pro League,12:05,Al Shabab,Al Najma,1.5,3.9,5.5,https://redscores.com/pt-br/match/al-najma-al-shabab/0jBxJKc
Arábia Saudita - Pro League,14:30,Al Fateh,Al Kholood,1.85,3.5,3.6,https://redscores.com/pt-br/match/al-fateh-al-kholood/RRAxOQAA
Arábia Saudita - Pro League,14:30,Al Ahli,Al Khaleej,1.5,4.2,5.25,https://redscores.com/pt-br/match/al-ahli-al-khaleej/nubxiIB
Croácia - 1. HNL,ABAN,Istra 1961,Rijeka,3.6,3.2,2.0,https://redscores.com/pt-br/match/rijeka-istra-1961/B4x0gA
Escócia - League One,16:45,Alloa Athletic,Montrose,1.85,3.3,3.6,https://redscores.com/pt-br/match/alloa-athletic-montrose/Obx3m
Escócia - League One,16:45,East Fife,Inverness CT,5.75,3.8,1.48,https://redscores.com/pt-br/match/inverness-ct-east-fife/Kcxqc
Inglaterra - National League,16:45,Yeovil Town,Aldershot Town,2.75,3.4,2.25,https://redscores.com/pt-br/match/aldershot-town-yeovil-town/FBxIc
Inglaterra - National League,16:45,Truro City,Brackley Town,2.3,3.1,2.9,https://redscores.com/pt-br/match/truro-city-brackley-town/fbxkh
Inglaterra - National League,POSTP,Sutton,Woking,2.3,3.3,2.8,https://redscores.com/pt-br/match/sutton-united-woking/BCxrd
Inglaterra - National League,16:45,Hartlepool,Gateshead,1.5,4.0,5.25,https://redscores.com/pt-br/match/hartlepool-united-gateshead/CCxJC
Inglaterra - National League,16:45,Southend United,Eastleigh,1.36,4.33,8.0,https://redscores.com/pt-br/match/southend-united-eastleigh/2AxNB
Inglaterra - National League,16:45,Boreham Wood,Scunthorpe,1.66,3.7,4.75,https://redscores.com/pt-br/match/scunthorpe-united-boreham-wood/uAxli
