data,liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
2026-04-02,Brasil - Serie A,19:00,Chapecoense,Atlético Mineiro,3.0,3.25,2.45,https://redscores.com/pt-br/match/chapecoense-atletico-mineiro/TFxF5
2026-04-02,Brasil - Serie A,19:00,Santos,Remo,1.57,3.9,6.25,https://redscores.com/pt-br/match/santos-remo/m9xKdB
2026-04-02,Brasil - Serie A,21:30,Bragantino,Flamengo,4.0,3.4,1.95,https://redscores.com/pt-br/match/flamengo-bragantino/Yixadb
2026-04-02,Brasil - Serie A,21:30,Palmeiras,Grêmio,1.5,4.2,6.5,https://redscores.com/pt-br/match/gremio-palmeiras/7yxd5
2026-04-02,Inglaterra - League One,15:45,Wigan,Leyton Orient,2.3,3.2,3.1,https://redscores.com/pt-br/match/wigan-athletic-leyton-orient/IxZc
2026-04-02,Inglaterra - League Two,16:00,Cambridge,Swindon,1.7,3.5,5.0,https://redscores.com/pt-br/match/cambridge-united-swindon-town/zBxUc
2026-04-02,Espanha - La Liga 2,14:00,Las Palmas,Granada,1.9,3.2,4.5,https://redscores.com/pt-br/match/granada-las-palmas/vAx3y
2026-04-02,Espanha - La Liga 2,15:00,Castellón,Almería,2.0,3.75,3.3,https://redscores.com/pt-br/match/almeria-castellon/efxcvb
2026-04-02,Espanha - La Liga 2,15:00,R. Sociedad II,Eibar,2.6,2.87,3.0,https://redscores.com/pt-br/match/sd-eibar-real-sociedad-ii/9xjsb
2026-04-02,Espanha - La Liga 2,16:30,Leganés,Zaragoza,2.0,3.3,3.8,https://redscores.com/pt-br/match/leganes-real-zaragoza/0GxBcA
2026-04-02,Argentina - Superliga,15:00,Barracas Central,Sarmiento,2.37,2.87,3.6,https://redscores.com/pt-br/match/barracas-central-sarmiento/3gbxzub
2026-04-02,Argentina - Superliga,17:30,Tigre,Independiente Rivadavia,2.3,3.0,3.5,https://redscores.com/pt-br/match/independiente-rivadavia-tigre/JGxbub
2026-04-02,Argentina - Superliga,20:30,Talleres Córdoba,Boca Juniors,2.8,3.0,2.8,https://redscores.com/pt-br/match/boca-juniors-talleres-cordoba/tEx5Ub
2026-04-02,Austrália - A-League,05:35,Macarthur,Newcastle Jets,2.4,4.0,2.5,https://redscores.com/pt-br/match/newcastle-jets-macarthur/eExHwdA
2026-04-02,Austrália - A-League,07:00,Brisbane Roar,Sydney,3.1,3.5,2.2,https://redscores.com/pt-br/match/sydney-brisbane-roar/Ecxjk
2026-04-02,Brasil - Serie B,17:30,São Bernardo,Operário PR,2.3,3.0,3.4,https://redscores.com/pt-br/match/sao-bernardo-operario-pr/3UAxE7B
2026-04-02,Chile - Primera Division,18:00,Universidad Católica,Palestino,1.83,3.5,4.1,https://redscores.com/pt-br/match/universidad-catolica-palestino/nwxeub
2026-04-02,Colômbia - Liga BetPlay,16:00,Boyacá Chicó,Deportivo Pereira,1.95,3.4,3.9,https://redscores.com/pt-br/match/deportivo-pereira-boyaca-chico/MGbxs5B
2026-04-02,Colômbia - Liga BetPlay,18:10,América de Cali,Atlético Bucaramanga,1.85,3.3,4.5,https://redscores.com/pt-br/match/atletico-bucaramanga-america-de-cali/BGbx7Ob
2026-04-02,Colômbia - Liga BetPlay,20:20,Jaguares de Córdoba,Millonarios,4.5,3.4,1.83,https://redscores.com/pt-br/match/millonarios-jaguares-de-cordoba/bdbxwKB
2026-04-02,Colômbia - Liga BetPlay,22:30,Once Caldas,Independiente Medellín,2.15,3.4,3.4,https://redscores.com/pt-br/match/independiente-medellin-once-caldas/NCxE7
2026-04-02,Venezuela - Primera Division,20:00,Deportivo La Guaira,Carabobo,2.15,2.9,3.2,https://redscores.com/pt-br/match/carabobo-deportivo-la-guaira/1cbxVhb
