liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
Inglaterra - Premier League,16:30,Nottingham,Everton,2.1,3.3,3.6,https://redscores.com/pt-br/match/everton-nottingham-forest/GxbA
Inglaterra - Premier League,16:30,West Ham,Brighton,3.2,3.6,2.15,https://redscores.com/pt-br/match/west-ham-united-brighton-hove-albion/AxIA
Inglaterra - Premier League,16:30,Burnley,Newcastle,5.0,4.33,1.6,https://redscores.com/pt-br/match/newcastle-united-burnley/kxN
Inglaterra - Premier League,16:30,Chelsea,Bournemouth,1.53,4.5,5.5,https://redscores.com/pt-br/match/chelsea-afc-bournemouth/jx1
Inglaterra - Premier League,17:15,Arsenal,Aston Villa,1.44,4.5,7.0,https://redscores.com/pt-br/match/aston-villa-arsenal/HxJ
Inglaterra - Premier League,17:15,Manchester United,Wolves,1.33,5.5,8.0,https://redscores.com/pt-br/match/manchester-united-wolverhampton-wanderers/hxO
Escócia - Premiership,16:45,Dundee,Kilmarnock,2.8,3.1,2.62,https://redscores.com/pt-br/match/kilmarnock-dundee/7bxuc
Escócia - Premiership,16:45,Hibernian,Aberdeen,1.85,3.7,3.9,https://redscores.com/pt-br/match/hibernian-aberdeen/CAxOc
Escócia - Premiership,16:45,Livingston,Dundee United,2.55,3.2,2.75,https://redscores.com/pt-br/match/livingston-dundee-united/hcxtc
Escócia - Premiership,16:45,Rangers,St. Mirren,1.57,4.1,5.5,https://redscores.com/pt-br/match/rangers-st-mirren/AAxee
Escócia - Premiership,16:45,Falkirk,Hearts,,,,https://redscores.com/pt-br/match/hearts-falkirk/ECxtg
Escócia - Premiership,16:45,Motherwell,Celtic,,,,https://redscores.com/pt-br/match/celtic-motherwell/2xcC
Escócia - Premiership,17:00,Motherwell,Celtic,4.1,3.9,1.75,https://redscores.com/pt-br/match/celtic-motherwell/2xcC
Arábia Saudita - Pro League,12:30,Al Ahli,Al Feiha,1.4,4.0,6.5,https://redscores.com/pt-br/match/al-ahli-al-feiha/nubxrXc
Arábia Saudita - Pro League,14:30,Al Akhdoud,Damac,2.55,3.2,2.6,https://redscores.com/pt-br/match/damac-al-akhdoud/lXcxLQAA
Arábia Saudita - Pro League,14:30,Al Ettifaq,Al Nassr,7.0,5.5,1.3,https://redscores.com/pt-br/match/al-nassr-al-ettifaq/CUxdvb
Inglaterra - National League,16:45,Scunthorpe,Gateshead,1.36,4.5,7.0,https://redscores.com/pt-br/match/scunthorpe-united-gateshead/uAxJC
Inglaterra - National League,16:45,Rochdale,Hartlepool,1.55,3.8,5.5,https://redscores.com/pt-br/match/rochdale-hartlepool-united/6BxCC
Inglaterra - National League,16:45,Aldershot Town,Wealdstone,2.15,3.6,2.87,https://redscores.com/pt-br/match/aldershot-town-wealdstone/FBxec
Inglaterra - National League,16:45,Southend United,Sutton,1.42,4.1,6.25,https://redscores.com/pt-br/match/southend-united-sutton-united/2AxBC
Inglaterra - National League,16:45,Boston United,Brackley Town,2.1,3.25,3.3,https://redscores.com/pt-br/match/boston-united-brackley-town/ABxkh
Inglaterra - National League,16:45,Yeovil Town,Eastleigh,2.45,3.0,2.8,https://redscores.com/pt-br/match/eastleigh-yeovil-town/NBxIc
Inglaterra - National League,16:45,Boreham Wood,Solihull Moors,1.48,4.1,6.25,https://redscores.com/pt-br/match/boreham-wood-solihull-moors/lix3i
Inglaterra - National League,16:45,Forest Green,Truro City,1.25,5.75,8.5,https://redscores.com/pt-br/match/truro-city-forest-green-rovers/fbx4b
Inglaterra - National League,16:45,Woking,Braintree Town,1.8,3.5,4.0,https://redscores.com/pt-br/match/woking-braintree-town/rdxRH
Inglaterra - National League,16:45,Tamworth,Halifax Town,2.6,3.4,2.45,https://redscores.com/pt-br/match/tamworth-halifax-town/VbxUf
Inglaterra - National League,16:45,Altrincham,York City,5.25,4.2,1.48,https://redscores.com/pt-br/match/york-city-altrincham/PAxdj
Inglaterra - National League,16:45,Carlisle,Morecambe,1.38,5.0,6.25,https://redscores.com/pt-br/match/carlisle-united-morecambe/MCxug
Irlanda do Norte - Premiership,16:45,Coleraine,Linfield,2.0,3.2,3.4,https://redscores.com/pt-br/match/linfield-coleraine/icxQZb
Irlanda do Norte - Premiership,16:45,Larne,Cliftonville,1.83,3.25,3.75,https://redscores.com/pt-br/match/cliftonville-larne/Glx9fB
Irlanda do Norte - Premiership,16:45,Bangor,Ballymena United,2.35,3.3,2.55,https://redscores.com/pt-br/match/ballymena-united-bangor/8Jxg0b
Irlanda do Norte - Premiership,16:45,Crusaders,Carrick Rangers,2.55,3.4,2.3,https://redscores.com/pt-br/match/carrick-rangers-crusaders/DKx0O
Irlanda do Norte - Premiership,16:45,Glenavon,Dungannon Swifts,3.5,3.4,1.85,https://redscores.com/pt-br/match/dungannon-swifts-glenavon/chxin
Irlanda do Norte - Premiership,16:45,Glentoran,Portadown,1.4,3.9,6.5,https://redscores.com/pt-br/match/glentoran-portadown/hgxa0b
Israel - Ligat ha'Al,14:00,Maccabi Bnei Raina,Ironi Kiryat Shmona,3.0,3.25,2.1,https://redscores.com/pt-br/match/ironi-kiryat-shmona-maccabi-bnei-raina/D2AxKtaA
Israel - Ligat ha'Al,14:30,Hapoel Haifa,Bnei Sakhnin,2.0,3.3,3.25,https://redscores.com/pt-br/match/hapoel-haifa-bnei-sakhnin/4uxVJb
Israel - Ligat ha'Al,15:00,Maccabi Tel Aviv,Ironi Tiberias,1.2,5.5,10.0,https://redscores.com/pt-br/match/maccabi-tel-aviv-ironi-tiberias/ezxTZA
País de Gales - Premier League,16:45,Cardiff MU,Haverfordwest County,2.25,3.3,2.7,https://redscores.com/pt-br/match/haverfordwest-county-cardiff-mu/2yBxLYB
Portugal - Segunda Liga,17:15,Torreense,Lusitania FC Lourosa,2.15,3.3,3.25,https://redscores.com/pt-br/match/torreense-lusitania-fc-lourosa/13AxcUd
