data,liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
2026-04-07,Inglaterra - Championship,16:00,Wrexham,Southampton,2.62,3.25,2.62,https://redscores.com/pt-br/match/southampton-wrexham/cAxTc
2026-04-07,Inglaterra - League One,15:45,Port Vale,Rotherham,2.37,3.25,2.87,https://redscores.com/pt-br/match/rotherham-united-port-vale/ibxVC
2026-04-07,Inglaterra - League Two,16:00,Bromley,Shrewsbury,1.65,3.7,5.0,https://redscores.com/pt-br/match/shrewsbury-town-bromley/qbx1c
2026-04-07,Dinamarca - Superliga,14:00,Nordsjælland,Brøndby,2.25,3.4,3.1,https://redscores.com/pt-br/match/brondby-nordsjaelland/zcxHT
2026-04-07,Noruega - Eliteserien,14:00,KFUM,Sandefjord,2.1,3.5,3.3,https://redscores.com/pt-br/match/sandefjord-kfum/DfxJgB
2026-04-07,Noruega - Eliteserien,14:00,Aalesund,Fredrikstad,2.7,3.7,2.37,https://redscores.com/pt-br/match/aalesund-fredrikstad/NdxRo
2026-04-07,México - Liga MX,21:00,Querétaro,Juárez,3.0,3.4,2.37,https://redscores.com/pt-br/match/queretaro-juarez/Zex1vA
2026-04-07,África do Sul - Premier League,14:30,Richards Bay,Stellenbosch,2.75,2.7,2.7,https://redscores.com/pt-br/match/stellenbosch-richards-bay/2Zxq0R
2026-04-07,África do Sul - Premier League,14:30,Orlando Pirates,Golden Arrows,1.16,5.5,15.0,https://redscores.com/pt-br/match/golden-arrows-orlando-pirates/pMxIUb
2026-04-07,África do Sul - Premier League,14:30,Chippa United,Siwelele,2.7,2.7,2.7,https://redscores.com/pt-br/match/chippa-united-siwelele/CTBxYqGA
2026-04-07,África do Sul - Premier League,14:30,Magesi,Marumo Gallants FC,2.25,2.75,3.3,https://redscores.com/pt-br/match/magesi-marumo-gallants-fc/sJcxURt
2026-04-07,África do Sul - Premier League,14:30,Durban City,Mamelodi Sundowns,6.0,3.3,1.55,https://redscores.com/pt-br/match/mamelodi-sundowns-durban-city/WzAxOugA
2026-04-07,Alemanha - 3. Liga,14:00,Schweinfurt,Rot-Weiss Essen,5.5,4.0,1.45,https://redscores.com/pt-br/match/rot-weiss-essen-schweinfurt/qWxQ8
2026-04-07,Alemanha - 3. Liga,14:00,MSV Duisburg,Osnabrück,2.87,3.2,2.25,https://redscores.com/pt-br/match/osnabruck-msv-duisburg/Cyxm3
2026-04-07,Alemanha - 3. Liga,14:00,Energie Cottbus,1860 München,1.83,3.6,3.5,https://redscores.com/pt-br/match/1860-munchen-energie-cottbus/NDxo3
2026-04-07,Alemanha - 3. Liga,14:00,Regensburg,Aue,2.0,3.4,3.1,https://redscores.com/pt-br/match/erzgebirge-aue-jahn-regensburg/v3xy5
2026-04-07,Alemanha - 3. Liga,14:00,Waldhof Mannheim,Hoffenheim II,2.05,3.6,2.75,https://redscores.com/pt-br/match/hoffenheim-ii-waldhof-mannheim/Hrxp4
