liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
Brasil - Serie A,19:30,Fluminense,Mirassol,1.9,3.3,4.5,https://redscores.com/pt-br/match/fluminense-mirassol/7Ixm9b
Brasil - Serie A,20:00,Ceará,Fortaleza,2.4,3.2,3.1,https://redscores.com/pt-br/match/fortaleza-ceara/l8xkIB
Brasil - Serie A,21:30,Palmeiras,Santos,,,,https://redscores.com/pt-br/match/palmeiras-santos/d5xm9
Inglaterra - League One,17:00,Reading,Stevenage,2.87,3.3,2.45,https://redscores.com/pt-br/match/reading-stevenage/LxVd
Arábia Saudita - Pro League,11:55,Al Hazm,Al Khaleej,3.0,3.3,2.05,https://redscores.com/pt-br/match/al-khaleej-al-hazm/iIBxcXc
Arábia Saudita - Pro League,14:30,Al Riyadh,Damac,2.0,3.2,3.3,https://redscores.com/pt-br/match/al-riyadh-damac/HXcxlXc
Arábia Saudita - Pro League,14:30,Al Quadisiya,Al Kholood,1.44,4.0,5.75,https://redscores.com/pt-br/match/al-quadisiya-al-kholood/tPBxOQAA
Argélia - Ligue 1,11:00,MC Oran,ES Sétif,,,,https://redscores.com/pt-br/match/es-setif-mc-oran/UdxQrb
Argélia - Ligue 1,11:00,JS Kabylie,MB Rouisset,,,,https://redscores.com/pt-br/match/js-kabylie-mb-rouisset/HRbxwoM
Argélia - Ligue 1,11:00,USM Khenchela,JS Saoura,,,,https://redscores.com/pt-br/match/js-saoura-usm-khenchela/gKcxUoM
Argélia - Ligue 1,11:00,Mostaganem,USM Alger,,,,https://redscores.com/pt-br/match/usm-alger-mostaganem/8CbxkKc
Argélia - Ligue 1,11:00,Ben Aknoun,CR Belouizdad,,,,https://redscores.com/pt-br/match/cr-belouizdad-ben-aknoun/yZAxEwt
Argélia - Ligue 1,11:00,MC Alger,CS Constantine,,,,https://redscores.com/pt-br/match/cs-constantine-mc-alger/8Mxn2A
Argélia - Ligue 1,11:00,Oued Akbou,ASO Chlef,,,,https://redscores.com/pt-br/match/aso-chlef-oued-akbou/baAxdOAA
Argélia - Ligue 1,11:00,Paradou AC,El Bayadh,,,,https://redscores.com/pt-br/match/paradou-ac-el-bayadh/Zkcxbwt
Bolívia - Liga De Futbol Prof,20:00,Bolívar,Aurora,1.3,5.25,8.5,https://redscores.com/pt-br/match/bolivar-aurora/MvAxH5B
Colômbia - Liga BetPlay,20:10,Boyacá Chicó,América de Cali,5.0,3.75,1.65,https://redscores.com/pt-br/match/america-de-cali-boyaca-chico/7Obxs5B
