data,liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
2026-04-05,Espanha - La Liga,09:00,Getafe,Athletic Club,3.0,2.87,2.7,https://redscores.com/pt-br/match/getafe-athletic-club/WAxKrB
2026-04-05,Espanha - La Liga,11:15,Valencia,Celta Vigo,2.37,3.25,3.1,https://redscores.com/pt-br/match/celta-de-vigo-valencia/sxPB
2026-04-05,Espanha - La Liga,13:30,R. Oviedo,Sevilla,2.75,3.1,2.75,https://redscores.com/pt-br/match/real-oviedo-sevilla/qAxCF
2026-04-05,Espanha - La Liga,16:00,Alavés,Osasuna,2.5,3.2,2.9,https://redscores.com/pt-br/match/osasuna-deportivo-alaves/qDxyY
2026-04-05,Alemanha - Bundesliga,10:30,Union Berlin,St. Pauli,2.1,3.25,3.8,https://redscores.com/pt-br/match/st-pauli-fc-union-berlin/YCxvI
2026-04-05,Alemanha - Bundesliga,12:30,Frankfurt,FC Köln,2.0,3.5,3.6,https://redscores.com/pt-br/match/eintracht-frankfurt-fc-koln/adxn3
2026-04-05,Itália - Serie A,10:00,Cremonese,Bologna,3.3,3.3,2.2,https://redscores.com/pt-br/match/bologna-cremonese/rIbxy2b
2026-04-05,Itália - Serie A,13:00,Pisa,Torino,3.25,3.0,2.4,https://redscores.com/pt-br/match/torino-pisa/BfxRI
2026-04-05,Itália - Serie A,15:45,Inter,Roma,1.66,3.9,5.25,https://redscores.com/pt-br/match/roma-inter/SxbY
2026-04-05,França - Ligue 1,10:00,Angers,Lyon,4.75,3.6,1.75,https://redscores.com/pt-br/match/olympique-lyonnais-angers-sco/jAxwg
2026-04-05,França - Ligue 1,12:15,Metz,Nantes,2.87,3.3,2.45,https://redscores.com/pt-br/match/nantes-metz/8xs6
2026-04-05,França - Ligue 1,12:15,Lorient,Paris,2.3,3.3,3.25,https://redscores.com/pt-br/match/paris-lorient/4gAxXOb
2026-04-05,França - Ligue 1,12:15,Le Havre,Auxerre,2.6,3.0,3.0,https://redscores.com/pt-br/match/le-havre-auxerre/jIxl9
2026-04-05,França - Ligue 1,15:45,Monaco,Marseille,2.1,3.75,3.2,https://redscores.com/pt-br/match/olympique-marseille-monaco/wxjZA
2026-04-05,Países Baixos - Eredivisie,07:15,G. A. Eagle,Zwolle,2.0,3.8,3.4,https://redscores.com/pt-br/match/go-ahead-eagles-pec-zwolle/3fxui
2026-04-05,Países Baixos - Eredivisie,09:30,Heerenveen,Heracles Almelo,1.45,5.25,5.75,https://redscores.com/pt-br/match/sc-heerenveen-heracles-almelo/iIxaL
2026-04-05,Países Baixos - Eredivisie,09:30,FC Volendam,Feyenoord,6.0,5.0,1.44,https://redscores.com/pt-br/match/feyenoord-fc-volendam/gAxIT
2026-04-05,Países Baixos - Eredivisie,11:45,NAC Breda,Sparta Rotterdam,2.55,3.4,2.75,https://redscores.com/pt-br/match/nac-breda-sparta-rotterdam/NfxcH
2026-04-05,Turquia - Super Lig,08:30,Karagümrük,Rizespor,2.8,3.5,2.37,https://redscores.com/pt-br/match/rizespor-fatih-karagumruk/cIxMcA
2026-04-05,Turquia - Super Lig,08:30,Samsunspor,Konyaspor,2.3,3.1,3.3,https://redscores.com/pt-br/match/konyaspor-samsunspor/EVxCX
