liga,hora,home,away,link_confronto
Brasil - Serie A,20:00,São Paulo,Ceará,https://redscores.com/pt-br/match/sao-paulo-ceara/J6xkIB
Noruega - Eliteserien,14:00,Haugesund,Sandefjord,https://redscores.com/pt-br/match/haugesund-sandefjord/ncxDf
Suécia - Allsvenskan,14:00,Djurgården,Sirius,https://redscores.com/pt-br/match/djurgarden-sirius/iDx4V
Suécia - Allsvenskan,14:10,Öster,IFK Göteborg,https://redscores.com/pt-br/match/ifk-goteborg-oster/wexEy
Finlândia - Veikkausliiga,13:00,HJK,Ilves,https://redscores.com/pt-br/match/hjk-ilves/2Fx4v
Argentina - Superliga,15:30,Barracas Central,Belgrano,https://redscores.com/pt-br/match/belgrano-barracas-central/7ZAx3gb
Argentina - Superliga,20:00,Vélez Sarsfield,Atlético Tucumán,https://redscores.com/pt-br/match/velez-sarsfield-atletico-tucuman/lubxa2b
Bolívia - Liga De Futbol Prof,16:00,The Strongest,Oriente Petrolero,https://redscores.com/pt-br/match/oriente-petrolero-the-strongest/AGbxkvb
Bolívia - Liga De Futbol Prof,18:30,Always Ready,Real Oruro,https://redscores.com/pt-br/match/always-ready-real-oruro/J7AAxmGfA
Bolívia - Liga De Futbol Prof,21:00,Guabirá,ABB,https://redscores.com/pt-br/match/guabira-abb/AEBxyseA
Brasil - Serie B,19:00,América Mineiro,Volta Redonda,https://redscores.com/pt-br/match/america-mineiro-volta-redonda/vvAx1DB
Brasil - Serie B,19:30,Avaí,Coritiba,https://redscores.com/pt-br/match/coritiba-avai/bvAxbWA
Brasil - Serie B,21:30,Amazonas,Chapecoense,https://redscores.com/pt-br/match/chapecoense-amazonas/TFxvgBA
Islândia - Pepsideild,16:15,Stjarnan,Víkingur Reykjavík,https://redscores.com/pt-br/match/vikingur-reykjavik-stjarnan/cwxjkb
Lituânia - A Lyga,13:00,Sūduva,Žalgiris,https://redscores.com/pt-br/match/zalgiris-suduva/MixlRA
Noruega - Obos-Ligaen,14:00,Odd,Aalesund,https://redscores.com/pt-br/match/aalesund-odd/NdxHH
Noruega - Obos-Ligaen,14:00,Raufoss,Ranheim,https://redscores.com/pt-br/match/ranheim-raufoss/jixHZb
Noruega - Obos-Ligaen,14:00,Moss,Lillestrøm,https://redscores.com/pt-br/match/moss-lillestrom/GkxEU
Noruega - Obos-Ligaen,14:00,Hødd,Lyn,https://redscores.com/pt-br/match/hodd-lyn/4MxYFB
Paraguai - Division 1,17:00,Sportivo Ameliano,Deportivo Recoleta,https://redscores.com/pt-br/match/deportivo-recoleta-sportivo-ameliano/Z4bAx04bA
Paraguai - Division 1,19:30,Atlético Tembetary,Olimpia,https://redscores.com/pt-br/match/olimpia-atletico-tembetary/0Fcx14bA
Peru - Primera Division,15:00,UTC Cajamarca,Los Chankas,https://redscores.com/pt-br/match/utc-cajamarca-los-chankas/NcAxg1A
Peru - Primera Division,17:00,Cusco FC,Comerciantes Unidos,https://redscores.com/pt-br/match/cusco-fc-comerciantes-unidos/66bx5hB
Peru - Primera Division,17:15,Sporting Cristal,Ayacucho,https://redscores.com/pt-br/match/sporting-cristal-ayacucho/y1bx6VB
Suécia - Superettan,14:00,Utsikten,Brage,https://redscores.com/pt-br/match/utsikten-brage/nUxvKb
Suécia - Superettan,14:00,Helsingborg,Trelleborg,https://redscores.com/pt-br/match/helsingborg-trelleborg/XexKY
Suécia - Superettan,14:00,GIF Sundsvall,Umeå,https://redscores.com/pt-br/match/umea-gif-sundsvall/MRAxOob
Uruguai - Primera Division,16:00,Racing,Progreso,https://redscores.com/pt-br/match/racing-progreso/kPAxPgb
