liga,hora,home,away,link_confronto
Brasil - Serie A,16:00,Mirassol,Juventude,https://redscores.com/pt-br/match/juventude-mirassol/Yxm9b
Brasil - Serie A,17:30,Flamengo,Vasco da Gama,https://redscores.com/pt-br/match/vasco-da-gama-flamengo/MFxYi
Brasil - Serie A,17:30,Internacional,Grêmio,https://redscores.com/pt-br/match/internacional-gremio/gwx7y
Brasil - Serie A,17:30,Sport Recife,Corinthians,https://redscores.com/pt-br/match/corinthians-sport-recife/8cxrt
Brasil - Serie A,20:30,Santos,São Paulo,https://redscores.com/pt-br/match/sao-paulo-santos/J6xm9
Brasil - Serie A,20:30,Cruzeiro,Bragantino,https://redscores.com/pt-br/match/cruzeiro-bragantino/i4xadb
EUA - Major League Soccer,20:00,Austin,Seattle Sounders,https://redscores.com/pt-br/match/seattle-sounders-austin/nVxXjDA
EUA - Major League Soccer,22:00,Los Angeles FC,Real Salt Lake,https://redscores.com/pt-br/match/real-salt-lake-los-angeles-fc/MIx0UT
Noruega - Eliteserien,09:30,Rosenborg,Bodø / Glimt,https://redscores.com/pt-br/match/rosenborg-bodo-glimt/3KxKN
Noruega - Eliteserien,12:00,Kristiansund,Haugesund,https://redscores.com/pt-br/match/haugesund-kristiansund/ncxHh
Noruega - Eliteserien,12:00,Strømsgodset,Sarpsborg 08,https://redscores.com/pt-br/match/stromsgodset-sarpsborg-08/eCxTv
Noruega - Eliteserien,12:00,Tromsø,HamKam,https://redscores.com/pt-br/match/tromso-hamkam/w6Ax9Jb
Noruega - Eliteserien,14:15,Viking,Molde,https://redscores.com/pt-br/match/molde-viking/XcxiC
Suécia - Allsvenskan,09:00,IFK Göteborg,Brommapojkarna,https://redscores.com/pt-br/match/ifk-goteborg-brommapojkarna/wex12
Suécia - Allsvenskan,09:00,Hammarby,Häcken,https://redscores.com/pt-br/match/hammarby-hacken/RtxrU
Suécia - Allsvenskan,11:30,Sirius,Degerfors,https://redscores.com/pt-br/match/sirius-degerfors/4VxeW
Finlândia - Veikkausliiga,12:30,Mariehamn,VPS,https://redscores.com/pt-br/match/mariehamn-vps/6Gxfp
Argentina - Superliga,14:30,Independiente,San Lorenzo,https://redscores.com/pt-br/match/san-lorenzo-independiente/qexV4b
Argentina - Superliga,16:45,Godoy Cruz,Instituto,https://redscores.com/pt-br/match/instituto-godoy-cruz/8ubxD7b
Argentina - Superliga,19:00,Argentinos Juniors,Banfield,https://redscores.com/pt-br/match/banfield-argentinos-juniors/Qhxt4
Argentina - Superliga,19:00,Rosario Central,Talleres Córdoba,https://redscores.com/pt-br/match/rosario-central-talleres-cordoba/f4x5Ub
Argentina - Superliga,21:15,Boca Juniors,Central Cordoba,https://redscores.com/pt-br/match/boca-juniors-central-cordoba/tEx9zB
China - Super League,07:00,Beijing Guoan,Shanghai Port,https://redscores.com/pt-br/match/beijing-guoan-shanghai-port/H4xIQA
China - Super League,08:35,Tianjin Jinmen Tiger,Shenzhen Peng City,https://redscores.com/pt-br/match/tianjin-jinmen-tiger-shenzhen-peng-city/vVxk0c
China - Super League,09:00,Shanghai Shenhua,Chengdu Rongcheng,https://redscores.com/pt-br/match/shanghai-shenhua-chengdu-rongcheng/DpbxZ0c
Argentina - Primera B Nacional,15:00,Almirante Brown,Defensores de Belgrano,https://redscores.com/pt-br/match/defensores-de-belgrano-almirante-brown/f0xlMB
Argentina - Primera B Nacional,15:30,Defensores Unidos,Nueva Chicago,https://redscores.com/pt-br/match/nueva-chicago-defensores-unidos/aPBxT5B
Argentina - Primera B Nacional,15:30,Alvarado,Los Andes,https://redscores.com/pt-br/match/alvarado-los-andes/uGbxcPgA
Argentina - Primera B Nacional,16:00,Atletico Mitre,Talleres Remedios,https://redscores.com/pt-br/match/talleres-remedios-atletico-mitre/zCAxb1B
Argentina - Primera B Nacional,17:00,Colón,Deportivo Morón,https://redscores.com/pt-br/match/colon-deportivo-moron/nBAxE5B
Argentina - Primera B Nacional,17:00,Central Norte,Chacarita Juniors,https://redscores.com/pt-br/match/chacarita-juniors-central-norte/a7bx5VB
Argentina - Primera B Nacional,18:00,Gimnasia Jujuy,Agropecuario,https://redscores.com/pt-br/match/gimnasia-jujuy-agropecuario/Nobx11B
Argentina - Primera B Nacional,19:00,Racing Córdoba,San Martín Tucumán,https://redscores.com/pt-br/match/san-martin-tucuman-racing-cordoba/pubxC2B
Bolívia - Liga De Futbol Prof,16:00,Guabirá,The Strongest,https://redscores.com/pt-br/match/the-strongest-guabira/kvbxAEB
Bolívia - Liga De Futbol Prof,18:15,Always Ready,Wilstermann,https://redscores.com/pt-br/match/wilstermann-always-ready/u6xJ7AA
Bolívia - Liga De Futbol Prof,20:30,Gualberto Villarroel SJ,Blooming,https://redscores.com/pt-br/match/blooming-gualberto-villarroel-sj/c3AxwUFA
Brasil - Serie B,16:00,América Mineiro,Coritiba,https://redscores.com/pt-br/match/coritiba-america-mineiro/bvAxvvA
Brasil - Serie B,16:00,Criciúma,CRB,https://redscores.com/pt-br/match/criciuma-crb/7SAxNuA
Brasil - Serie B,19:00,Athletico PR,Vila Nova,https://redscores.com/pt-br/match/athletico-pr-vila-nova/i5xXgB
Brasil - Serie B,20:30,Cuiabá,Chapecoense,https://redscores.com/pt-br/match/chapecoense-cuiaba/TFxroA
Brasil - Serie C,16:30,Floresta,São Bernardo,https://redscores.com/pt-br/match/sao-bernardo-floresta/3UAx8de
Brasil - Serie C,19:00,Guarani,Brusque,https://redscores.com/pt-br/match/guarani-brusque/g9xKvA
Colômbia - Liga BetPlay,16:00,Millonarios,Fortaleza CEIF,https://redscores.com/pt-br/match/fortaleza-ceif-millonarios/ZUAxbdb
Colômbia - Liga BetPlay,18:10,Unión Magdalena,Atlético Nacional,https://redscores.com/pt-br/match/atletico-nacional-union-magdalena/EyAxfAB
Colômbia - Liga BetPlay,20:20,Independiente Medellín,Junior FC,https://redscores.com/pt-br/match/independiente-medellin-junior-fc/NCxWCb
Colômbia - Liga BetPlay,22:30,Boyacá Chicó,Deportivo Pereira,https://redscores.com/pt-br/match/deportivo-pereira-boyaca-chico/MGbxs5B
Coréia do Sul - K-League 1,04:30,Suwon,Gangwon,https://redscores.com/pt-br/match/suwon-gangwon/Zhxh7A
Coréia do Sul - K-League 1,04:30,Ulsan,Anyang,https://redscores.com/pt-br/match/ulsan-anyang/wrAxUEb
Coréia do Sul - K-League 1,07:00,Seoul,Gwangju,https://redscores.com/pt-br/match/seoul-gwangju/AFxTfA
Coréia do Sul - K-League 1,07:00,Pohang Steelers,Jeju United,https://redscores.com/pt-br/match/pohang-steelers-jeju-united/vmxVEb
Coréia do Sul - K League 2,04:30,Ansan Greeners,Cheongju,https://redscores.com/pt-br/match/ansan-greeners-cheongju/uuAxr5c
Coréia do Sul - K League 2,04:30,Cheonan City,Hwaseong,https://redscores.com/pt-br/match/cheonan-city-hwaseong/dYcx44c
Coréia do Sul - K League 2,07:00,Busan I'Park,Jeonnam Dragons,https://redscores.com/pt-br/match/busan-i-park-jeonnam-dragons/dwxUeb
