id_jogo,liga,hora,home,away,link_confronto,odd_h,odd_d,odd_a
19387105,Brasil - Serie A,16:00,Vasco da Gama,Corinthians,https://redscores.com/pt-br/match/corinthians-vasco-da-gama/8cxMF,,68,2.1
19387111,Brasil - Serie A,16:00,Bahia,Santos,https://redscores.com/pt-br/match/bahia-santos/KFxm9,,67,1.65
19387112,Brasil - Serie A,18:30,Fortaleza,Mirassol,https://redscores.com/pt-br/match/fortaleza-mirassol/l8xm9b,,85,2.4
19387113,Brasil - Serie A,18:30,Juventude,Botafogo,https://redscores.com/pt-br/match/juventude-botafogo/Yx7X,,59,3.8
19387107,Brasil - Serie A,20:30,São Paulo,Atlético Mineiro,https://redscores.com/pt-br/match/atletico-mineiro-sao-paulo/F5xJ6,,,1.8
19353063,EUA - Major League Soccer,35',Real Salt Lake,Minnesota United,https://redscores.com/pt-br/match/real-salt-lake-minnesota-united/MIxu8,41-17,68,4.5
19353064,EUA - Major League Soccer,27',Vancouver Whitecaps,St. Louis City,https://redscores.com/pt-br/match/vancouver-whitecaps-st-louis-city/Ycx7ZfA,43-24,92,2.6
19353067,EUA - Major League Soccer,17:00,Atlanta United,Toronto,https://redscores.com/pt-br/match/toronto-atlanta-united/ZAxX8,,81,1.65
19353068,EUA - Major League Soccer,20:00,Charlotte,New York RB,https://redscores.com/pt-br/match/new-york-rb-charlotte/IdxH4eA,,,1.85
19353069,EUA - Major League Soccer,22:15,Seattle Sounders,Sporting KC,https://redscores.com/pt-br/match/sporting-kc-seattle-sounders/jCxnV,,,
19354700,Noruega - Eliteserien,09:30,Haugesund,Vålerenga,https://redscores.com/pt-br/match/haugesund-valerenga/ncxhe,,86,5
19354699,Noruega - Eliteserien,12:00,Bryne,Strømsgodset,https://redscores.com/pt-br/match/stromsgodset-bryne/eCx1Kb,,74,1.83
19354698,Noruega - Eliteserien,12:00,Brann,Fredrikstad,https://redscores.com/pt-br/match/fredrikstad-brann/Roxru,,73,
19354702,Noruega - Eliteserien,14:15,Molde,Tromsø,https://redscores.com/pt-br/match/molde-tromso/Xcxw6A,,67,2.05
19347852,Suécia - Allsvenskan,09:00,Sirius,Hammarby,https://redscores.com/pt-br/match/hammarby-sirius/Rtx4V,,74,4
19347847,Suécia - Allsvenskan,09:00,Djurgården,Brommapojkarna,https://redscores.com/pt-br/match/djurgarden-brommapojkarna/iDx12,,78,1.57
19347854,Suécia - Allsvenskan,11:30,Värnamo,Häcken,https://redscores.com/pt-br/match/hacken-varnamo/rUxJyA,,68,2.9
19347851,Suécia - Allsvenskan,11:30,Malmö FF,IFK Göteborg,https://redscores.com/pt-br/match/malmo-ff-ifk-goteborg/zCxwe,,69,1.72
19347848,Suécia - Allsvenskan,11:30,Elfsborg,Halmstad,https://redscores.com/pt-br/match/halmstad-elfsborg/zFxdk,,72,1.4
19347853,Suécia - Allsvenskan,11:30,Degerfors,AIK,https://redscores.com/pt-br/match/degerfors-aik/eWxJX,,75,3.75
19543739,Finlândia - Veikkausliiga,09:00,HJK,Mariehamn,https://redscores.com/pt-br/match/hjk-mariehamn/2Fx6G,,78,1.2
19370487,Finlândia - Veikkausliiga,12:30,Jaro,KuPS,https://redscores.com/pt-br/match/kups-jaro/2EAxbbb,,78,4
19362170,Argentina - Superliga,14:00,Unión Santa Fe,Huracán,https://redscores.com/pt-br/match/huracan-union-santa-fe/o0xp6A,,36,2.15
19362169,Argentina - Superliga,16:15,Argentinos Juniors,Racing Club,https://redscores.com/pt-br/match/argentinos-juniors-racing-club/t4xE8,,60,2.2
19362167,Argentina - Superliga,18:15,Boca Juniors,Banfield,https://redscores.com/pt-br/match/boca-juniors-banfield/tExQh,,73,1.65
19362176,Argentina - Superliga,20:30,Independiente,Platense,https://redscores.com/pt-br/match/platense-independiente/hubxV4b,,,2.1
19377663,China - Super League,08:00,Changchun Yatai,Shenzhen Peng City,https://redscores.com/pt-br/match/changchun-yatai-shenzhen-peng-city/63xk0c,,80,2.3
19377662,China - Super League,08:00,Meizhou Hakka,Zhejiang,https://redscores.com/pt-br/match/zhejiang-meizhou-hakka/88xOBB,,84,3.9
19377659,China - Super League,08:00,Shanghai Port,Tianjin Jinmen Tiger,https://redscores.com/pt-br/match/tianjin-jinmen-tiger-shanghai-port/vVxIQA,,91,1.33
19377665,China - Super League,08:35,Henan Songshan Longmen,Dalian Zhixing,https://redscores.com/pt-br/match/henan-songshan-longmen-dalian-zhixing/fibxTfFA,,89,2.25
19377666,China - Super League,09:00,Shandong Taishan,Qingdao Youth Island,https://redscores.com/pt-br/match/shandong-taishan-qingdao-youth-island/juxqfeA,,82,1.4
19510369,Bolívia - Liga De Futbol Prof,16:00,Blooming,Universitario de Vinto,https://redscores.com/pt-br/match/blooming-universitario-de-vinto/c3AxvSeA,,77,1.38
19510370,Bolívia - Liga De Futbol Prof,18:15,Real Oruro,Independiente Petrolero,https://redscores.com/pt-br/match/independiente-petrolero-real-oruro/8tdAxmGfA,,79,1.65
19510371,Bolívia - Liga De Futbol Prof,20:30,Wilstermann,Bolívar,https://redscores.com/pt-br/match/wilstermann-bolivar/u6xMvA,,,7.5
19391086,Brasil - Serie B,16:00,Paysandu,Operário PR,https://redscores.com/pt-br/match/paysandu-operario-pr/A6xE7B,,62,2.25
19391091,Brasil - Serie B,18:30,Ferroviária,Volta Redonda,https://redscores.com/pt-br/match/ferroviaria-volta-redonda/cUx1DB,,73,2.15
19391085,Brasil - Serie B,20:30,Cuiabá,Atlético GO,https://redscores.com/pt-br/match/cuiaba-atletico-go/roAxRhb,,,2.05
19375231,Chile - Primera Division,13:30,La Serena,Huachipato,https://redscores.com/pt-br/match/la-serena-huachipato/N5x4bc,,88,2.3
19375227,Chile - Primera Division,16:00,Universidad Chile,Everton,https://redscores.com/pt-br/match/universidad-chile-everton/2bx7bc,,73,1.5
19375229,Chile - Primera Division,18:30,Deportes Iquique,Ñublense,https://redscores.com/pt-br/match/deportes-iquique-nublense/0RbxMkB,,76,2.9
19444380,Colômbia - Liga BetPlay,45+1' +2,Millonarios,Junior FC,https://redscores.com/pt-br/match/junior-fc-millonarios/WCbxbdb,45-80,80,1.05
19444381,Colômbia - Liga BetPlay,16:00,Once Caldas,Deportes Tolima,https://redscores.com/pt-br/match/once-caldas-deportes-tolima/E7xIWb,,58,2.5
19444382,Colômbia - Liga BetPlay,18:10,Unión Magdalena,Alianza Petrolera,https://redscores.com/pt-br/match/union-magdalena-alianza-petrolera/fABxLNB,,64,2.4
19444383,Colômbia - Liga BetPlay,20:20,América de Cali,Atlético Nacional,https://redscores.com/pt-br/match/atletico-nacional-america-de-cali/EyAx7Ob,,,2.55
19444384,Colômbia - Liga BetPlay,22:30,Atlético Bucaramanga,Rionegro Águilas,https://redscores.com/pt-br/match/rionegro-aguilas-atletico-bucaramanga/ZbxBGb,,,1.85
19367931,Coréia do Sul - K-League 1,07:00,Seoul,Ulsan,https://redscores.com/pt-br/match/seoul-ulsan/AFxwrA,,67,2.15
19367932,Coréia do Sul - K-League 1,07:00,Pohang Steelers,Jeonbuk Motors,https://redscores.com/pt-br/match/pohang-steelers-jeonbuk-motors/vmxW3,,69,3.1
19367933,Coréia do Sul - K-League 1,07:00,Anyang,Daejeon Citizen,https://redscores.com/pt-br/match/daejeon-citizen-anyang/1PAxUEb,,84,2.6
19370764,Coréia do Sul - K League 2,07:00,Chungnam Asan,Busan I'Park,https://redscores.com/pt-br/match/busan-i-park-chungnam-asan/dwxaYc,,67,2.35
19370765,Coréia do Sul - K League 2,07:00,Hwaseong,Suwon Bluewings,https://redscores.com/pt-br/match/suwon-bluewings-hwaseong/Ytx44c,,64,4.33
19370763,Coréia do Sul - K League 2,07:00,Cheongju,Incheon United,https://redscores.com/pt-br/match/incheon-united-cheongju/O1Axr5c,,78,
19371716,Equador - Liga Pro,15:00,El Nacional,LDU Quito,https://redscores.com/pt-br/match/el-nacional-ldu-quito/3TxV3b,,64,4
19371718,Equador - Liga Pro,17:30,Emelec,Independiente del Valle,https://redscores.com/pt-br/match/emelec-independiente-del-valle/e2bx55B,,63,3.3
19371719,Equador - Liga Pro,20:00,Universidad Católica,Técnico Universitario,https://redscores.com/pt-br/match/universidad-catolica-tecnico-universitario/iDcxIDc,,,1.66
19380051,Estônia - Meistriliiga,08:30,Kuressaare,Flora,https://redscores.com/pt-br/match/flora-kuressaare/Rkbx7lb,,95,10
19380052,Estônia - Meistriliiga,13:00,Harju Jalgpallikool,Nõmme Kalju,https://redscores.com/pt-br/match/nomme-kalju-harju-jalgpallikool/wXAxDzcA,,,
19363660,Islândia - Pepsideild,14:00,KA,Fram,https://redscores.com/pt-br/match/fram-ka/aRAxC8A,,73,2
19363661,Islândia - Pepsideild,14:00,ÍA,Breidablik,https://redscores.com/pt-br/match/ia-breidablik/Ykxk1A,,73,
19363662,Islândia - Pepsideild,15:00,FH,ÍBV,https://redscores.com/pt-br/match/ibv-fh/9GxZYb,,78,1.66
19348593,Japão - J-League,07:00,Tokyo,Kyoto Sanga,https://redscores.com/pt-br/match/tokyo-kyoto-sanga/9Yxq6,,74,2.5
19347307,Japão - J2-League,06:00,V-Varen Nagasaki,Renofa Yamaguchi,https://redscores.com/pt-br/match/v-varen-nagasaki-renofa-yamaguchi/VUbxu6B,,66,1.61
19347298,Japão - J2-League,07:00,Vegalta Sendai,JEF United,https://redscores.com/pt-br/match/jef-united-vegalta-sendai/0eAx9IB,,46,2.5
19438652,Lituânia - A Lyga,11:00,Dainava,Banga,https://redscores.com/pt-br/match/banga-dainava/yFbxdmb,,72,2.4
19438653,Lituânia - A Lyga,12:25,Panevėžys,Kauno Žalgiris,https://redscores.com/pt-br/match/kauno-zalgiris-panevezys/GHx8fb,,80,4.33
19438654,Lituânia - A Lyga,13:00,Hegelmann Litauen,Žalgiris,https://redscores.com/pt-br/match/zalgiris-hegelmann-litauen/MixhBB,,76,1.8
19471190,Paraguai - Division 1,16:00,General Caballero JLM,Olimpia,https://redscores.com/pt-br/match/olimpia-general-caballero-jlm/0FcxpdbA,,59,4.5
19471188,Paraguai - Division 1,18:30,Cerro Porteño,Sportivo Trinidense,https://redscores.com/pt-br/match/cerro-porteno-sportivo-trinidense/24xQ7b,,66,1.61
19509599,Peru - Primera Division,15:00,ADT,Melgar,https://redscores.com/pt-br/match/melgar-adt/MBxokBA,,53,3.1
19509600,Peru - Primera Division,17:15,Cienciano,Atlético Grau,https://redscores.com/pt-br/match/cienciano-atletico-grau/NrBxiqu,,97,1.53
19509601,Peru - Primera Division,19:30,Universitario,Alianza Lima,https://redscores.com/pt-br/match/universitario-alianza-lima/Agbx61b,,,1.95
19352219,Suécia - Superettan,08:00,Varberg BoIS,Östersunds FK,https://redscores.com/pt-br/match/ostersunds-fk-varberg-bois/2MxPSB,,79,1.8
19352220,Suécia - Superettan,10:00,Västerås SK,Utsikten,https://redscores.com/pt-br/match/utsikten-vasteras-sk/nUxEkb,,79,1.36
19466766,Venezuela - Primera Division,18:00,Metropolitanos,Deportivo Táchira,https://redscores.com/pt-br/match/deportivo-tachira-metropolitanos/QHbxmBB,,57,4
19466768,Venezuela - Primera Division,19:00,Estudiantes Mérida,Deportivo La Guaira,https://redscores.com/pt-br/match/estudiantes-merida-deportivo-la-guaira/FFbxVhb,,,2.9
19466769,Venezuela - Primera Division,21:30,Academia Puerto Cabello,Caracas,https://redscores.com/pt-br/match/caracas-academia-puerto-cabello/QjBxGjc,,,
