liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
Inglaterra - Premier League,17:00,Sunderland,Everton,2.7,3.1,2.75,https://redscores.com/pt-br/match/sunderland-everton/BxG
Espanha - La Liga,17:00,R. Oviedo,Osasuna,3.0,3.0,2.55,https://redscores.com/pt-br/match/real-oviedo-osasuna/qAxqD
Itália - Serie A,14:30,Sassuolo,Genoa,2.45,3.0,3.2,https://redscores.com/pt-br/match/genoa-sassuolo/UAxpw
Itália - Serie A,16:45,Lazio,Cagliari,1.6,3.6,6.25,https://redscores.com/pt-br/match/lazio-cagliari/VxsE
Portugal - Primeira Liga,17:45,Gil Vicente,Santa Clara,2.25,3.0,3.5,https://redscores.com/pt-br/match/gil-vicente-santa-clara/8CxCV
Turquia - Super Lig,14:00,Alanyaspor,Gaziantep,1.95,3.5,3.7,https://redscores.com/pt-br/match/alanyaspor-gaziantep-fk/vCxwDA
Turquia - Super Lig,14:00,Eyüpspor,Antalyaspor,1.83,3.6,4.2,https://redscores.com/pt-br/match/antalyaspor-eyupspor/kAx11
Turquia - Super Lig,14:00,Rizespor,Karagümrük,1.7,3.7,4.75,https://redscores.com/pt-br/match/rizespor-fatih-karagumruk/cIxMcA
Espanha - La Liga 2,16:30,Valladolid,Granada,1.9,3.5,4.1,https://redscores.com/pt-br/match/granada-real-valladolid/vAx5C
França - Ligue 2,16:45,Pau,Troyes,3.0,3.25,2.3,https://redscores.com/pt-br/match/pau-troyes/epxq3A
Países Baixos - Eerste Divisie,16:00,Jong AZ,Eindhoven,1.7,4.0,4.5,https://redscores.com/pt-br/match/fc-eindhoven-jong-az/HCxc0
Países Baixos - Eerste Divisie,16:00,Jong PSV,Willem II,2.7,3.9,2.3,https://redscores.com/pt-br/match/willem-ii-jong-psv/8fxVY
Países Baixos - Eerste Divisie,16:00,Dordrecht,Almere City,2.4,3.75,2.6,https://redscores.com/pt-br/match/fc-dordrecht-almere-city/OGxpL
Dinamarca - Superliga,15:00,Midtjylland,AGF,1.83,4.0,3.75,https://redscores.com/pt-br/match/midtjylland-agf/mHxty
Suécia - Allsvenskan,15:00,Degerfors,Hammarby,3.1,3.6,2.15,https://redscores.com/pt-br/match/hammarby-degerfors/RtxeW
Suécia - Allsvenskan,15:00,Värnamo,Mjällby,5.75,4.5,1.5,https://redscores.com/pt-br/match/mjallby-varnamo/WdxJyA
Finlândia - Veikkausliiga,13:00,Ilves,SJK,1.57,4.33,4.33,https://redscores.com/pt-br/match/sjk-ilves/QGx4v
Finlândia - Veikkausliiga,14:00,Gnistan,HJK,3.5,3.9,1.83,https://redscores.com/pt-br/match/hjk-gnistan/2Fxenb
Argentina - Superliga,16:45,Platense,Sarmiento,1.9,3.3,4.5,https://redscores.com/pt-br/match/platense-sarmiento/hubxzub
Argentina - Superliga,16:45,Defensa y Justicia,Huracán,2.5,3.0,3.1,https://redscores.com/pt-br/match/huracan-defensa-y-justicia/o0xWrb
Argentina - Superliga,19:00,Central Cordoba,Racing Club,3.1,2.9,2.6,https://redscores.com/pt-br/match/racing-club-central-cordoba/E8x9zB
Argentina - Superliga,21:15,Belgrano,Tigre,2.05,3.1,4.1,https://redscores.com/pt-br/match/belgrano-tigre/7ZAxbub
Argentina - Superliga,21:15,Banfield,Lanús,2.5,2.87,3.4,https://redscores.com/pt-br/match/banfield-lanus/Qhx6Tb
Grécia - Super League,12:00,Asteras Tripolis,OFI,2.25,3.25,3.2,https://redscores.com/pt-br/match/ofi-asteras-tripolis/6AxdY
Albânia - Superliga,10:00,Tirana,Bylis Ballsh,1.44,3.75,6.5,https://redscores.com/pt-br/match/tirana-bylis-ballsh/ImAxQmA
Albânia - Superliga,13:00,Dinamo Tirana,Teuta Durrës,,,,https://redscores.com/pt-br/match/teuta-durres-dinamo-tirana/jmAxKmA
Albânia - Superliga,13:00,Flamurtari,AF Elbasani,2.5,3.1,2.6,https://redscores.com/pt-br/match/flamurtari-af-elbasani/lmAx5LfA
Argélia - Ligue 1,10:30,Paradou AC,USM Khenchela,2.15,2.75,3.5,https://redscores.com/pt-br/match/paradou-ac-usm-khenchela/ZkcxUoM
Argélia - Ligue 1,13:45,JS Kabylie,El Bayadh,1.28,4.2,13.0,https://redscores.com/pt-br/match/js-kabylie-el-bayadh/HRbxbwt
Argélia - Ligue 1,16:00,MC Alger,JS Saoura,1.44,3.5,7.0,https://redscores.com/pt-br/match/mc-alger-js-saoura/n2AxgKc
Armênia - Premier League,10:00,Gandzasar,Alashkert,5.5,3.8,1.53,https://redscores.com/pt-br/match/alashkert-gandzasar/COAxNsEA
Armênia - Premier League,12:00,Ararat,Urartu,19.0,8.0,1.12,https://redscores.com/pt-br/match/urartu-ararat/7oAxBOA
Bolívia - Liga De Futbol Prof,16:00,Oriente Petrolero,Guabirá,1.61,3.75,4.75,https://redscores.com/pt-br/match/oriente-petrolero-guabira/AGbxAEB
Bolívia - Liga De Futbol Prof,18:15,Bolívar,Universitario de Vinto,1.18,6.0,13.0,https://redscores.com/pt-br/match/bolivar-universitario-de-vinto/MvAxvSeA
Bolívia - Liga De Futbol Prof,20:30,Aurora,Independiente Petrolero,1.5,4.0,5.25,https://redscores.com/pt-br/match/aurora-independiente-petrolero/H5Bx8tdA
Brasil - Serie B,19:00,Volta Redonda,Botafogo SP,1.85,3.1,4.1,https://redscores.com/pt-br/match/botafogo-sp-volta-redonda/VAx1DB
Brasil - Serie B,19:00,América Mineiro,Novorizontino,2.25,3.2,3.2,https://redscores.com/pt-br/match/america-mineiro-novorizontino/vvAxnVA
Chile - Primera Division,19:00,Palestino,Deportes Limache,1.72,3.9,4.2,https://redscores.com/pt-br/match/palestino-deportes-limache/eubxbzW
Croácia - 1. HNL,14:00,Gorica,Lokomotiva Zagreb,2.45,3.2,2.7,https://redscores.com/pt-br/match/lokomotiva-zagreb-gorica/9NAxpfb
Equador - Liga Pro,21:00,Libertad,Independiente del Valle,4.2,3.5,1.8,https://redscores.com/pt-br/match/independiente-del-valle-libertad/55BxJDEA
Eslovênia - 1. SNL,13:30,Domžale,Mura,3.0,3.4,2.15,https://redscores.com/pt-br/match/domzale-mura/NGxk2b
Israel - Ligat ha'Al,15:30,Beitar Jerusalem,Hapoel Be'er Sheva,3.7,3.5,1.85,https://redscores.com/pt-br/match/hapoel-be-er-sheva-beitar-jerusalem/oexuE
Polônia - Ekstraklasa,14:00,Wisła Płock,Pogoń Szczecin,2.25,3.3,3.2,https://redscores.com/pt-br/match/pogon-szczecin-wisla-plock/HGxQW
Polônia - Ekstraklasa,14:00,Lechia Gdańsk,Radomiak Radom,2.05,3.4,3.4,https://redscores.com/pt-br/match/lechia-gdansk-radomiak-radom/GbxJ1
Polônia - Ekstraklasa,16:30,Cracovia Kraków,Zagłębie Lubin,1.95,3.4,3.8,https://redscores.com/pt-br/match/cracovia-krakow-zaglebie-lubin/qIxXk
Portugal - Segunda Liga,15:00,Ferreira,Leixões,2.5,3.25,2.6,https://redscores.com/pt-br/match/pacos-de-ferreira-leixoes/mjxnHb
Portugal - Segunda Liga,15:00,UD Oliveirense,Marítimo,3.5,3.3,2.0,https://redscores.com/pt-br/match/maritimo-ud-oliveirense/hsAxLUd
Portugal - Segunda Liga,17:00,União de Leiria,Chaves,2.5,3.25,2.6,https://redscores.com/pt-br/match/chaves-uniao-de-leiria/gix8PA
Romênia - Liga 1,12:30,SSC Farul,Csikszereda,1.72,3.6,4.1,https://redscores.com/pt-br/match/csikszereda-ssc-farul/rXbx2fs
Romênia - Liga 1,15:30,Petrolul 52,Botoşani,3.0,3.1,2.3,https://redscores.com/pt-br/match/botosani-petrolul-52/L1xPtR
Sérvia - Super Liga,13:00,OFK Beograd,Radnički Niš,1.66,3.7,4.2,https://redscores.com/pt-br/match/radnicki-nis-ofk-beograd/gzxh9
