liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
Brasil - Serie A,21:00,Botafogo,Vitória,1.66,3.6,5.25,https://redscores.com/pt-br/match/botafogo-vitoria/7Xxm5
Brasil - Serie A,21:00,Flamengo,Mirassol,1.4,4.2,8.5,https://redscores.com/pt-br/match/flamengo-mirassol/Yixm9b
Brasil - Serie A,POSTP,Bahia,Chapecoense,1.5,3.9,6.5,https://redscores.com/pt-br/match/bahia-chapecoense/KFxTF
Escócia - Premiership,16:45,Dundee United,Aberdeen,2.15,3.4,3.3,https://redscores.com/pt-br/match/aberdeen-dundee-united/Ocxtc
Inglaterra - Championship,16:45,Middlesbrough,Leicester,1.55,4.2,5.5,https://redscores.com/pt-br/match/middlesbrough-leicester-city/Dxv
Inglaterra - Championship,16:45,Wrexham,Portsmouth,2.0,3.3,3.7,https://redscores.com/pt-br/match/portsmouth-wrexham/CxTc
Inglaterra - Championship,16:45,Hull,Derby,2.5,3.2,2.87,https://redscores.com/pt-br/match/hull-city-derby-county/lxm
Inglaterra - Championship,16:45,Swansea,Preston,1.75,3.75,4.33,https://redscores.com/pt-br/match/swansea-city-preston-north-end/pxtA
Inglaterra - Championship,16:45,Watford,Ipswich,3.2,3.4,2.2,https://redscores.com/pt-br/match/watford-ipswich-town/Mx4A
Inglaterra - Championship,16:45,West Brom,Charlton,2.05,3.4,3.6,https://redscores.com/pt-br/match/charlton-athletic-west-bromwich-albion/cxf
Inglaterra - Championship,16:45,Blackburn,Bristol City,2.4,3.2,3.0,https://redscores.com/pt-br/match/blackburn-rovers-bristol-city/bxab
Inglaterra - Championship,17:00,Southampton,QPR,1.72,3.8,4.33,https://redscores.com/pt-br/match/queens-park-rangers-southampton/yxcA
Inglaterra - League One,POSTP,Bradford City,Rotherham,1.66,3.4,5.75,https://redscores.com/pt-br/match/bradford-city-rotherham-united/Hbxib
Inglaterra - League One,16:45,Doncaster,Luton,2.8,3.25,2.45,https://redscores.com/pt-br/match/luton-town-doncaster-rovers/3Ax1B
Inglaterra - League One,16:45,Burton,Stockport County,3.2,3.4,2.2,https://redscores.com/pt-br/match/burton-albion-stockport-county/obxCc
Inglaterra - League One,16:45,Northampton,Port Vale,2.3,3.1,3.2,https://redscores.com/pt-br/match/northampton-town-port-vale/tBxVC
Inglaterra - League Two,POSTP,Salford,Shrewsbury,1.66,3.8,5.0,https://redscores.com/pt-br/match/salford-city-shrewsbury-town/Dbxqb
Inglaterra - League Two,16:45,Accrington,Barnet,3.7,3.4,2.0,https://redscores.com/pt-br/match/barnet-accrington-stanley/GCxOd
Países Baixos - Eerste Divisie,16:00,Willem II,Den Haag,3.5,3.8,1.95,https://redscores.com/pt-br/match/willem-ii-ado-den-haag/8fxpj
Países Baixos - Eerste Divisie,16:00,Cambuur,Eindhoven,1.42,5.0,6.25,https://redscores.com/pt-br/match/fc-eindhoven-sc-cambuur/HCxqL
Argentina - Superliga,17:00,Platense,Defensa y Justicia,2.1,3.0,4.2,https://redscores.com/pt-br/match/defensa-y-justicia-platense/Wrbxhub
Argentina - Superliga,19:15,San Lorenzo,Instituto,2.3,2.8,3.75,https://redscores.com/pt-br/match/san-lorenzo-instituto/qex8ub
Argentina - Superliga,19:45,Central Cordoba,Talleres Córdoba,3.2,2.7,2.35,https://redscores.com/pt-br/match/talleres-cordoba-central-cordoba/5Ubx9zB
Argentina - Superliga,21:00,Aldosivi,Argentinos Juniors,,,,https://redscores.com/pt-br/match/argentinos-juniors-aldosivi/t4x2Tb
Argentina - Superliga,21:30,Belgrano,Atlético Tucumán,1.8,3.4,4.75,https://redscores.com/pt-br/match/belgrano-atletico-tucuman/7ZAxa2b
Argentina - Superliga,22:00,Gimnasia Mendoza,Independiente,3.6,2.9,2.3,https://redscores.com/pt-br/match/independiente-gimnasia-mendoza/V4bxh0B
África do Sul - Premier League,14:30,AmaZulu,Mamelodi Sundowns,5.5,3.2,1.61,https://redscores.com/pt-br/match/mamelodi-sundowns-amazulu/WzAxJ2A
África do Sul - Premier League,14:30,Kaizer Chiefs,Stellenbosch,1.6,3.2,5.5,https://redscores.com/pt-br/match/kaizer-chiefs-stellenbosch/uUx2Z
Arábia Saudita - Pro League,16:00,Al Hazm,Al Ittihad,6.0,4.1,1.45,https://redscores.com/pt-br/match/al-ittihad-al-hazm/zDxcXc
