data,liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
2026-05-07,Arábia Saudita - Pro League,15:00,Al Shabab,Al Nassr,7.0,5.0,1.3,https://redscores.com/pt-br/match/al-nassr-al-shabab/CUxJKc
2026-05-07,Argélia - Ligue 1,12:00,Paradou AC,CS Constantine,3.25,2.87,2.2,https://redscores.com/pt-br/match/cs-constantine-paradou-ac/8MxZkc
2026-05-07,Argélia - Ligue 1,12:00,Mostaganem,JS Saoura,13.0,4.1,1.27,https://redscores.com/pt-br/match/js-saoura-mostaganem/gKcxkKc
2026-05-07,Argélia - Ligue 1,16:00,MC Oran,ASO Chlef,1.38,3.9,7.5,https://redscores.com/pt-br/match/aso-chlef-mc-oran/baAxQrb
2026-05-07,Egito - Premier League,11:00,El Geish,Ghazl El Mehalla,2.4,2.62,3.4,https://redscores.com/pt-br/match/el-geish-ghazl-el-mehalla/tnxrMc
2026-05-07,Egito - Premier League,14:00,Haras El Hodood,ZED FC,1.7,3.25,4.75,https://redscores.com/pt-br/match/haras-el-hodood-zed-fc/TMcxLdBA
2026-05-07,Egito - Premier League,14:00,National Bank of Egypt,Ismaily,1.95,2.9,4.1,https://redscores.com/pt-br/match/ismaily-national-bank-of-egypt/gCcxuKdA
