liga,hora,home,away,link_confronto
Brasil - Serie A,21:30,Atlético Mineiro,Juventude,https://redscores.com/pt-br/match/juventude-atletico-mineiro/YxF5
EUA - Major League Soccer,20:30,Inter Miami,Chicago Fire,https://redscores.com/pt-br/match/chicago-fire-inter-miami/hAx3IBA
Argentina - Superliga,19:00,Newell's Old Boys,Estudiantes,https://redscores.com/pt-br/match/newell-s-old-boys-estudiantes/qxbPb
Brasil - Serie B,21:35,Goiás,Atlético GO,https://redscores.com/pt-br/match/atletico-go-goias/Rhbx0pb
Inglaterra - National League,15:45,Truro City,Eastleigh,https://redscores.com/pt-br/match/truro-city-eastleigh/fbxNB
Inglaterra - National League,15:45,Boreham Wood,Southend United,https://redscores.com/pt-br/match/southend-united-boreham-wood/2Axli
Inglaterra - National League,15:45,Sutton,Yeovil Town,https://redscores.com/pt-br/match/yeovil-town-sutton-united/IcxBC
Inglaterra - National League,15:45,Solihull Moors,Woking,https://redscores.com/pt-br/match/woking-solihull-moors/rdx3i
Inglaterra - National League,15:45,Aldershot Town,Braintree Town,https://redscores.com/pt-br/match/aldershot-town-braintree-town/FBxRH
Inglaterra - National League,15:45,Morecambe,Gateshead,https://redscores.com/pt-br/match/gateshead-morecambe/JCxug
Peru - Primera Division,15:00,Sport Huancayo,Alianza Universidad,https://redscores.com/pt-br/match/alianza-universidad-sport-huancayo/yrbx6lB
Peru - Primera Division,17:15,Juan Pablo II College,ADT,https://redscores.com/pt-br/match/adt-juan-pablo-ii-college/okBAxwyFA
Peru - Primera Division,21:30,Cusco FC,Deportivo Garcilaso,https://redscores.com/pt-br/match/cusco-fc-deportivo-garcilaso/66bxChc
Suécia - Superettan,14:00,Kalmar,Örebro,https://redscores.com/pt-br/match/kalmar-orebro/CDx7K
Suécia - Superettan,14:00,Örgryte,Landskrona,https://redscores.com/pt-br/match/landskrona-orgryte/bExup
