data,liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
2026-05-04,Inglaterra - Premier League,11:00,Chelsea,Nottingham,1.7,3.9,5.0,https://redscores.com/pt-br/match/chelsea-nottingham-forest/jxbA
2026-05-04,Inglaterra - Premier League,16:00,Everton,Man City,6.0,4.75,1.48,https://redscores.com/pt-br/match/manchester-city-everton/ExG
2026-05-04,Espanha - La Liga,16:00,Sevilla,Real Sociedad,2.4,3.5,2.87,https://redscores.com/pt-br/match/real-sociedad-sevilla/WExCF
2026-05-04,Itália - Serie A,13:30,Cremonese,Lazio,3.0,3.3,2.37,https://redscores.com/pt-br/match/lazio-cremonese/Vxy2b
2026-05-04,Itália - Serie A,15:45,Roma,Fiorentina,1.6,4.33,5.0,https://redscores.com/pt-br/match/roma-fiorentina/SxYA
2026-05-04,Portugal - Primeira Liga,16:15,Sporting,Guimaraes,1.27,5.5,11.0,https://redscores.com/pt-br/match/sporting-cp-vitoria-sc/7xSG
2026-05-04,Escócia - Premiership,13:30,Hearts,Rangers,2.7,3.6,2.45,https://redscores.com/pt-br/match/rangers-hearts/AAxEC
2026-05-04,Espanha - La Liga 2,15:30,Almería,Mirandés,1.48,4.5,6.0,https://redscores.com/pt-br/match/almeria-mirandes/efxh2A
2026-05-04,Áustria - Tipico Bundesliga,13:30,Altach,Wolfsberger,2.37,3.4,2.87,https://redscores.com/pt-br/match/wolfsberger-ac-rheindorf-altach/CAAxWBA
2026-05-04,Áustria - Tipico Bundesliga,15:30,LASK Linz,Rapid Vienna,1.9,3.7,3.75,https://redscores.com/pt-br/match/lask-linz-rapid-vienna/h4xj9
2026-05-04,Dinamarca - Superliga,14:00,Midtjylland,Viborg,1.55,4.33,5.25,https://redscores.com/pt-br/match/midtjylland-viborg/mHxDu
2026-05-04,Noruega - Eliteserien,14:00,Bodø / Glimt,Molde,1.33,5.75,7.0,https://redscores.com/pt-br/match/molde-bodo-glimt/XcxKN
2026-05-04,Suécia - Allsvenskan,14:00,Halmstad,Brommapojkarna,2.87,3.3,2.4,https://redscores.com/pt-br/match/halmstad-brommapojkarna/zFx12
2026-05-04,Suécia - Allsvenskan,14:00,Djurgården,IFK Göteborg,1.66,3.9,5.0,https://redscores.com/pt-br/match/djurgarden-ifk-goteborg/iDxwe
2026-05-04,Finlândia - Veikkausliiga,13:00,HJK,Lahti,1.45,4.5,7.0,https://redscores.com/pt-br/match/hjk-lahti/2Fxc5
2026-05-04,Argentina - Superliga,17:00,Gimnasia Mendoza,Defensa y Justicia,2.37,2.8,3.6,https://redscores.com/pt-br/match/defensa-y-justicia-gimnasia-mendoza/Wrbxh0B
2026-05-04,Argentina - Superliga,19:15,Vélez Sarsfield,Newell's Old Boys,1.61,3.6,6.5,https://redscores.com/pt-br/match/newell-s-old-boys-velez-sarsfield/qxlub
2026-05-04,Argentina - Superliga,21:30,Estudiantes Río Cuarto,Instituto,3.6,2.8,2.35,https://redscores.com/pt-br/match/instituto-estudiantes-rio-cuarto/8ubxyiB
2026-05-04,Arábia Saudita - Pro League,13:10,Al Feiha,Al Riyadh,2.3,3.2,3.0,https://redscores.com/pt-br/match/al-riyadh-al-feiha/HXcxrXc
2026-05-04,Arábia Saudita - Pro League,15:00,Al Ettifaq,Al Najma,1.53,4.33,4.75,https://redscores.com/pt-br/match/al-ettifaq-al-najma/dvbx0jB
2026-05-04,Arábia Saudita - Pro League,15:00,Al Ittihad,Al Kholood,1.48,4.5,5.25,https://redscores.com/pt-br/match/al-ittihad-al-kholood/zDxOQAA
2026-05-04,Argélia - Ligue 1,13:45,CR Belouizdad,USM Khenchela,1.22,4.75,12.0,https://redscores.com/pt-br/match/cr-belouizdad-usm-khenchela/yZAxUoM
2026-05-04,Argélia - Ligue 1,16:00,USM Alger,Paradou AC,,,,https://redscores.com/pt-br/match/usm-alger-paradou-ac/8CbxZkc
