liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
Brasil - Serie A,21:30,Atlético Mineiro,Flamengo,4.2,3.5,1.85,https://redscores.com/pt-br/match/flamengo-atletico-mineiro/YixF5
Brasil - Serie A,21:30,Grêmio,Palmeiras,2.2,3.25,3.4,https://redscores.com/pt-br/match/gremio-palmeiras/7yxd5
Escócia - Premiership,16:45,Motherwell,Hibernian,2.62,3.4,2.55,https://redscores.com/pt-br/match/hibernian-motherwell/CAxcC
Inglaterra - Championship,16:45,Hull,Ipswich,4.2,3.75,1.8,https://redscores.com/pt-br/match/hull-city-ipswich-town/lx4A
Inglaterra - Championship,16:45,Middlesbrough,Coventry,2.75,3.4,2.5,https://redscores.com/pt-br/match/middlesbrough-coventry-city/Dx5A
Inglaterra - Championship,16:45,Stoke,Charlton,1.85,3.6,4.1,https://redscores.com/pt-br/match/charlton-athletic-stoke-city/cxn
Inglaterra - Championship,16:45,Swansea,Derby,2.3,3.0,3.4,https://redscores.com/pt-br/match/derby-county-swansea-city/mxp
Inglaterra - Championship,16:45,Watford,Preston,1.95,3.4,3.9,https://redscores.com/pt-br/match/watford-preston-north-end/MxtA
Inglaterra - Championship,16:45,Norwich,Oxford Utd,1.9,3.5,4.0,https://redscores.com/pt-br/match/norwich-city-oxford-united/Qx2c
Inglaterra - Championship,17:00,Southampton,Leicester,1.95,3.6,3.8,https://redscores.com/pt-br/match/leicester-city-southampton/vxcA
Inglaterra - League One,16:45,Luton,Huddersfield,2.1,3.4,3.3,https://redscores.com/pt-br/match/luton-town-huddersfield-town/3AxDc
Inglaterra - League One,16:45,Peterborough,Stevenage,2.3,3.1,3.2,https://redscores.com/pt-br/match/peterborough-united-stevenage/fcxVd
França - Ligue 2,16:00,Bastia,Laval,2.05,2.9,3.5,https://redscores.com/pt-br/match/bastia-laval/BDxhj
Países Baixos - Eerste Divisie,16:00,Waalwijk,Maastricht,1.4,5.25,7.0,https://redscores.com/pt-br/match/rkc-waalwijk-mvv-maastricht/KGxLo
Países Baixos - Eerste Divisie,16:00,Roda Kerkrade,Dordrecht,1.9,3.9,3.6,https://redscores.com/pt-br/match/fc-dordrecht-roda-jc-kerkrade/OGxnt
Países Baixos - Eerste Divisie,16:00,Den Haag,De Graafschap,1.4,5.25,6.25,https://redscores.com/pt-br/match/de-graafschap-ado-den-haag/sIxpj
Países Baixos - Eerste Divisie,16:00,Vitesse,Jong PSV,1.9,4.1,3.3,https://redscores.com/pt-br/match/vitesse-jong-psv/QAxVY
África do Sul - Premier League,14:30,Orlando Pirates,Chippa United,1.27,5.25,9.5,https://redscores.com/pt-br/match/orlando-pirates-chippa-united/IUbxCTB
Egito - Premier League,12:00,Pyramids FC,Al Mokawloon,1.36,4.0,8.0,https://redscores.com/pt-br/match/al-mokawloon-pyramids-fc/Gfxnnc
Escócia - Championship,16:45,Partick Thistle,Dunfermline Athletic,1.8,3.2,4.33,https://redscores.com/pt-br/match/dunfermline-athletic-partick-thistle/wcxrC
Escócia - League One,16:45,Alloa Athletic,Inverness CT,3.5,3.3,1.9,https://redscores.com/pt-br/match/alloa-athletic-inverness-ct/ObxKc
Irlanda do Norte - Premiership,16:45,Linfield,Crusaders,1.38,4.1,6.5,https://redscores.com/pt-br/match/linfield-crusaders/icx0O
Irlanda do Norte - Premiership,16:45,Coleraine,Larne,1.95,3.1,3.5,https://redscores.com/pt-br/match/coleraine-larne/QZbx9fB
