liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
Espanha - La Liga,17:00,Getafe,Real Sociedad,3.3,3.0,2.37,https://redscores.com/pt-br/match/getafe-real-sociedad/WAxWE
Alemanha - Bundesliga,16:30,Frankfurt,Dortmund,3.4,3.7,2.05,https://redscores.com/pt-br/match/borussia-dortmund-eintracht-frankfurt/DAxad
Países Baixos - Eredivisie,16:00,Nijmegen,Utrecht,2.0,3.8,3.4,https://redscores.com/pt-br/match/nec-nijmegen-fc-utrecht/dexjg
Espanha - La Liga 2,16:30,Cádiz,Gijón,2.55,3.1,2.87,https://redscores.com/pt-br/match/sporting-gijon-cadiz/TCx5ZA
Países Baixos - Eerste Divisie,16:00,FC Emmen,Cambuur,3.1,3.8,2.1,https://redscores.com/pt-br/match/sc-cambuur-fc-emmen/qLxRu
Países Baixos - Eerste Divisie,16:00,Maastricht,Almere City,4.33,4.0,1.7,https://redscores.com/pt-br/match/almere-city-mvv-maastricht/pLxLo
Países Baixos - Eerste Divisie,16:00,Dordrecht,Helmond,2.0,3.75,3.25,https://redscores.com/pt-br/match/fc-dordrecht-helmond-sport/OGxku
Países Baixos - Eerste Divisie,16:00,Willem II,Den Haag,4.0,4.0,1.75,https://redscores.com/pt-br/match/willem-ii-ado-den-haag/8fxpj
Países Baixos - Eerste Divisie,16:00,Vitesse,Eindhoven,1.9,3.6,3.9,https://redscores.com/pt-br/match/vitesse-fc-eindhoven/QAxHC
Arábia Saudita - Pro League,10:10,Al Khaleej,Damac,1.72,3.5,4.0,https://redscores.com/pt-br/match/al-khaleej-damac/iIBxlXc
Arábia Saudita - Pro League,12:05,Al Taawoun,Al Shabab,1.75,3.3,4.0,https://redscores.com/pt-br/match/al-taawoun-al-shabab/GTxJKc
Arábia Saudita - Pro League,14:30,Al Kholood,Al Ittihad,6.25,4.1,1.4,https://redscores.com/pt-br/match/al-ittihad-al-kholood/zDxOQAA
Argélia - Ligue 1,12:00,MB Rouisset,USM Khenchela,2.3,2.75,3.2,https://redscores.com/pt-br/match/usm-khenchela-mb-rouisset/UoMxwoM
Argélia - Ligue 1,12:00,CS Constantine,JS Saoura,1.65,3.1,5.25,https://redscores.com/pt-br/match/cs-constantine-js-saoura/8MxgKc
Argélia - Ligue 1,12:00,ASO Chlef,MC Alger,3.8,2.75,2.0,https://redscores.com/pt-br/match/aso-chlef-mc-alger/baAxn2A
Argélia - Ligue 1,14:00,CR Belouizdad,JS Kabylie,1.9,2.75,4.5,https://redscores.com/pt-br/match/cr-belouizdad-js-kabylie/yZAxHRb
Austrália - A-League,05:35,Brisbane Roar,Auckland,3.4,3.5,2.1,https://redscores.com/pt-br/match/brisbane-roar-auckland/jkx8PgA
Escócia - Championship,16:45,Ross County,Partick Thistle,3.0,3.3,2.05,https://redscores.com/pt-br/match/ross-county-partick-thistle/bcxrC
Israel - Ligat ha'Al,09:00,Maccabi Netanya,Hapoel Katamon,1.65,3.8,4.5,https://redscores.com/pt-br/match/hapoel-katamon-maccabi-netanya/61xzdA
Malásia - Super League,09:15,Sabah,Kuala Lumpur,3.5,3.7,1.8,https://redscores.com/pt-br/match/sabah-kuala-lumpur/vUAx8hb
Malásia - Super League,10:00,Negeri Sembilan,Johor Darul Ta'zim,19.0,9.5,1.09,https://redscores.com/pt-br/match/negeri-sembilan-johor-darul-ta-zim/IPxJS
País de Gales - Premier League,16:45,Penybont,Cardiff MU,1.61,3.6,4.75,https://redscores.com/pt-br/match/penybont-cardiff-mu/onxLYB
País de Gales - Premier League,16:45,Haverfordwest County,Briton Ferry,1.72,3.6,3.8,https://redscores.com/pt-br/match/haverfordwest-county-briton-ferry/2yBxrzB
País de Gales - Premier League,16:45,Flint Town United,Bala Town,1.9,3.3,3.5,https://redscores.com/pt-br/match/bala-town-flint-town-united/gkxHYB
País de Gales - Premier League,16:45,Barry Town United,Llanelli Town,,,,https://redscores.com/pt-br/match/barry-town-united-llanelli-town/bOxrgD
País de Gales - Premier League,16:45,The New Saints,Colwyn Bay,1.22,5.75,10.0,https://redscores.com/pt-br/match/the-new-saints-colwyn-bay/pExsk
País de Gales - Premier League,16:45,Caernarfon Town,Connah's Quay,2.62,3.5,2.25,https://redscores.com/pt-br/match/connah-s-quay-caernarfon-town/GKx1L
