liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
Espanha - La Liga,10:00,R. Oviedo,Athletic Club,3.7,3.1,2.2,https://redscores.com/pt-br/match/real-oviedo-athletic-club/qAxKrB
Espanha - La Liga,12:15,Rayo Vallecano,Atlético Madrid,4.1,3.75,1.85,https://redscores.com/pt-br/match/rayo-vallecano-atletico-madrid/FdxZeb
Espanha - La Liga,14:30,Levante,Valencia,2.7,3.3,2.6,https://redscores.com/pt-br/match/valencia-levante/PBxU5
Espanha - La Liga,17:00,Mallorca,Betis,2.8,3.2,2.55,https://redscores.com/pt-br/match/real-betis-mallorca/7DxRf
Alemanha - Bundesliga,11:30,Augsburg,Heidenheim,1.9,3.75,3.8,https://redscores.com/pt-br/match/fc-augsburg-heidenheim/OAxMX
Alemanha - Bundesliga,13:30,RB Leipzig,Wolfsburg,1.48,4.75,6.25,https://redscores.com/pt-br/match/rb-leipzig-vfl-wolfsburg/Qcxle
Itália - Serie A,08:30,Udinese,Sassuolo,2.6,2.9,3.1,https://redscores.com/pt-br/match/udinese-sassuolo/UCxpw
Itália - Serie A,11:00,Cremonese,Genoa,3.1,3.0,2.5,https://redscores.com/pt-br/match/genoa-cremonese/UAxy2b
Itália - Serie A,11:00,Parma,Hellas Verona,2.35,3.0,3.4,https://redscores.com/pt-br/match/parma-hellas-verona/qdxMj
Itália - Serie A,14:00,Torino,Bologna,3.0,3.1,2.55,https://redscores.com/pt-br/match/torino-bologna/BfxrIb
Itália - Serie A,16:45,Napoli,Roma,2.7,2.8,3.1,https://redscores.com/pt-br/match/roma-napoli/SxYE
França - Ligue 1,11:00,Le Havre,Toulouse,3.2,3.1,2.45,https://redscores.com/pt-br/match/toulouse-le-havre/WcxjI
França - Ligue 1,13:15,Metz,Auxerre,2.8,3.0,2.62,https://redscores.com/pt-br/match/metz-auxerre/s6xl9
França - Ligue 1,13:15,Lorient,Angers,1.9,3.2,4.5,https://redscores.com/pt-br/match/angers-sco-lorient/wgxXOb
França - Ligue 1,16:45,Lyon,Nice,1.7,3.75,5.0,https://redscores.com/pt-br/match/olympique-lyonnais-nice/jAxLD
Países Baixos - Eredivisie,08:15,Feyenoord,G. A. Eagle,1.38,5.0,7.0,https://redscores.com/pt-br/match/feyenoord-go-ahead-eagles/gAx3f
Países Baixos - Eredivisie,10:30,Heerenveen,Zwolle,1.53,4.33,5.75,https://redscores.com/pt-br/match/pec-zwolle-sc-heerenveen/uixiI
Países Baixos - Eredivisie,10:30,Telstar,Twente,5.25,4.2,1.6,https://redscores.com/pt-br/match/fc-twente-telstar/wExMM
Países Baixos - Eredivisie,12:45,Sparta Rotterdam,Nijmegen,2.7,3.6,2.37,https://redscores.com/pt-br/match/nec-nijmegen-sparta-rotterdam/dexcH
Portugal - Primeira Liga,12:30,Nacional,Porto,8.0,4.33,1.42,https://redscores.com/pt-br/match/porto-nacional/vfxk3A
Portugal - Primeira Liga,15:00,AVS,Estoril,4.2,3.75,1.75,https://redscores.com/pt-br/match/estoril-avs/TJxqKFA
Portugal - Primeira Liga,17:30,Sporting,Famalicão,1.3,5.0,10.0,https://redscores.com/pt-br/match/sporting-cp-famalicao/7xZ0
Turquia - Super Lig,08:30,Kocaelispor,Gaziantep,1.9,3.4,4.0,https://redscores.com/pt-br/match/gaziantep-fk-kocaelispor/wDAxGwB
Turquia - Super Lig,11:00,Göztepe,Kayserispor,1.61,3.7,5.5,https://redscores.com/pt-br/match/kayserispor-goztepe/Qfx3bA
Turquia - Super Lig,14:00,Başakşehir,Beşiktaş,2.6,3.4,2.6,https://redscores.com/pt-br/match/besiktas-istanbul-basaksehir/CExv9
Bélgica - Pro League,09:30,Cercle Brugge,Club Brugge,3.6,3.75,1.85,https://redscores.com/pt-br/match/club-brugge-cercle-brugge/RCxjV
Bélgica - Pro League,12:00,Antwerp,Westerlo,2.05,3.6,3.3,https://redscores.com/pt-br/match/antwerp-westerlo/LCx1C
Bélgica - Pro League,14:30,Anderlecht,La Louvière,1.72,3.6,4.75,https://redscores.com/pt-br/match/anderlecht-la-louviere/3UxgzA
Bélgica - Pro League,15:15,St. Truiden,Zulte-Waregem,1.66,3.8,4.5,https://redscores.com/pt-br/match/sint-truiden-zulte-waregem/ZCxkj
Escócia - Premiership,11:00,Kilmarnock,Celtic,7.0,4.75,1.38,https://redscores.com/pt-br/match/celtic-kilmarnock/2x7b
Escócia - Premiership,11:30,Motherwell,Aberdeen,1.65,3.9,5.25,https://redscores.com/pt-br/match/aberdeen-motherwell/OcxcC
Escócia - Premiership,13:30,Rangers,Hearts,1.95,3.5,3.75,https://redscores.com/pt-br/match/rangers-hearts/AAxEC
Espanha - La Liga 2,10:00,Mirandés,Las Palmas,3.2,3.1,2.35,https://redscores.com/pt-br/match/las-palmas-mirandes/3yxh2A
Espanha - La Liga 2,12:15,Huesca,Ceuta,2.2,3.0,3.5,https://redscores.com/pt-br/match/huesca-ceuta/pcxeJB
Espanha - La Liga 2,12:15,Eibar,Racing Santander,2.35,3.2,3.1,https://redscores.com/pt-br/match/sd-eibar-racing-santander/9x7tb
Espanha - La Liga 2,14:30,Albacete,Gijón,2.35,3.2,3.1,https://redscores.com/pt-br/match/sporting-gijon-albacete/TCx70
Espanha - La Liga 2,17:00,Castellón,Deportivo La Coruña,1.85,3.6,4.0,https://redscores.com/pt-br/match/deportivo-la-coruna-castellon/bDxcvb
Itália - Serie B,11:00,Monza,Juve Stabia,1.66,3.6,5.0,https://redscores.com/pt-br/match/monza-juve-stabia/vnx31A
Itália - Serie B,11:00,Bari 1908,Südtirol,3.2,3.0,2.37,https://redscores.com/pt-br/match/sudtirol-bari-1908/3bxjD
Itália - Serie B,11:00,Spezia,Frosinone,2.7,3.4,2.45,https://redscores.com/pt-br/match/spezia-frosinone/uCxwCA
Itália - Serie B,13:15,Empoli,Reggiana,1.95,3.25,3.9,https://redscores.com/pt-br/match/empoli-reggiana/PdxMy
Itália - Serie B,15:30,Avellino,Pescara,2.2,3.3,3.25,https://redscores.com/pt-br/match/pescara-avellino/Alxj1A
Alemanha - 2. Bundesliga,09:30,Kiel,Schalke,3.1,3.25,2.3,https://redscores.com/pt-br/match/schalke-04-holstein-kiel/dAxg8
Alemanha - 2. Bundesliga,09:30,Magdeburg,Bielefeld,2.1,3.7,3.1,https://redscores.com/pt-br/match/dsc-arminia-bielefeld-magdeburg/9yxZ6
