liga,hora,home,away,link_confronto
Finlândia - Veikkausliiga,12:00,VPS,Haka,https://redscores.com/pt-br/match/vps-haka/fpxkdb
Argentina - Superliga,19:00,Banfield,Unión Santa Fe,https://redscores.com/pt-br/match/banfield-union-santa-fe/Qhxp6A
Argentina - Superliga,19:00,Platense,San Martín San Juan,https://redscores.com/pt-br/match/platense-san-martin-san-juan/hubxSvb
Argentina - Superliga,21:15,Central Cordoba,Tigre,https://redscores.com/pt-br/match/tigre-central-cordoba/bubx9zB
China - Super League,07:00,Shanghai Shenhua,Meizhou Hakka,https://redscores.com/pt-br/match/shanghai-shenhua-meizhou-hakka/DpbxOBB
China - Super League,08:35,Beijing Guoan,Dalian Zhixing,https://redscores.com/pt-br/match/beijing-guoan-dalian-zhixing/H4xTfFA
China - Super League,09:00,Zhejiang,Chengdu Rongcheng,https://redscores.com/pt-br/match/zhejiang-chengdu-rongcheng/88xZ0c
China - Super League,09:00,Shanghai Port,Wuhan Three Towns,https://redscores.com/pt-br/match/shanghai-port-wuhan-three-towns/IQAxMhbA
Argentina - Primera B Nacional,19:00,Tristán Suárez,Racing Córdoba,https://redscores.com/pt-br/match/racing-cordoba-tristan-suarez/C2Bxa5B
Argentina - Primera B Nacional,22:00,Gimnasia y Tiro,Atlanta,https://redscores.com/pt-br/match/gimnasia-y-tiro-atlanta/KHbx5vb
Chile - Primera Division,19:00,Colo-Colo,Deportes Iquique,https://redscores.com/pt-br/match/colo-colo-deportes-iquique/aebx0Rb
Colômbia - Liga BetPlay,20:00,Once Caldas,Boyacá Chicó,https://redscores.com/pt-br/match/once-caldas-boyaca-chico/E7xs5B
Colômbia - Liga BetPlay,22:10,Fortaleza CEIF,Atlético Bucaramanga,https://redscores.com/pt-br/match/fortaleza-ceif-atletico-bucaramanga/ZUAxBGb
Estônia - Meistriliiga,13:00,Tammeka,Kuressaare,https://redscores.com/pt-br/match/tammeka-kuressaare/jEAx7lb
Irlanda - Premier Division,15:45,Galway United,Cork City,https://redscores.com/pt-br/match/galway-united-cork-city/DCxKC
Irlanda - Premier Division,15:45,Drogheda United,Derry City,https://redscores.com/pt-br/match/derry-city-drogheda-united/9Ix3j
Irlanda - Premier Division,15:45,Shelbourne,Waterford United,https://redscores.com/pt-br/match/shelbourne-waterford-united/ggxWl
Irlanda - Premier Division,15:45,Shamrock Rovers,Bohemians,https://redscores.com/pt-br/match/shamrock-rovers-bohemians/mBxed
Lituânia - A Lyga,12:30,Banga,Džiugas Telšiai,https://redscores.com/pt-br/match/dziugas-telsiai-banga/10xyFb
Paraguai - Division 1,19:00,Sportivo Trinidense,Guaraní,https://redscores.com/pt-br/match/sportivo-trinidense-guarani/Q7bxZFc
Peru - Primera Division,POSTP,Los Chankas,Sporting Cristal,https://redscores.com/pt-br/match/los-chankas-sporting-cristal/g1Axy1b
Peru - Primera Division,13:00,Alianza Universidad,Sport Boys,https://redscores.com/pt-br/match/alianza-universidad-sport-boys/yrbxogc
Peru - Primera Division,15:15,ADT,Alianza Atlético,https://redscores.com/pt-br/match/alianza-atletico-adt/j6BxokBA
Peru - Primera Division,17:30,Atlético Grau,Sport Huancayo,https://redscores.com/pt-br/match/sport-huancayo-atletico-grau/6lBxiqu
Uruguai - Primera Division,20:00,Wanderers,Cerro,https://redscores.com/pt-br/match/wanderers-cerro/ODxm4
