liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
Brasil - Serie A,18:30,Corinthians,Atlético Mineiro,2.0,3.25,4.0,https://redscores.com/pt-br/match/corinthians-atletico-mineiro/8cxF5
Brasil - Serie A,21:00,Cruzeiro,Fortaleza,1.4,4.5,8.0,https://redscores.com/pt-br/match/cruzeiro-fortaleza/i4xl8
EUA - Major League Soccer,19:00,Cincinnati,CF Montréal,1.55,4.75,5.0,https://redscores.com/pt-br/match/cincinnati-cf-montreal/S8xHaA
EUA - Major League Soccer,19:00,Columbus Crew,New York RB,1.53,4.2,6.0,https://redscores.com/pt-br/match/new-york-rb-columbus-crew/IdxoE
EUA - Major League Soccer,19:00,New York City,Seattle Sounders,2.1,3.5,3.3,https://redscores.com/pt-br/match/seattle-sounders-new-york-city/nVxo8
EUA - Major League Soccer,19:00,Atlanta United,DC United,1.75,4.1,4.1,https://redscores.com/pt-br/match/dc-united-atlanta-united/9bxX8
EUA - Major League Soccer,19:00,New England,Chicago Fire,2.7,3.75,2.37,https://redscores.com/pt-br/match/chicago-fire-new-england/hAxPf
EUA - Major League Soccer,19:00,Charlotte,Philadelphia Union,2.5,3.7,2.6,https://redscores.com/pt-br/match/philadelphia-union-charlotte/PcxH4eA
EUA - Major League Soccer,19:00,Toronto,Orlando City,3.3,3.6,2.1,https://redscores.com/pt-br/match/toronto-orlando-city/ZAxKB
EUA - Major League Soccer,19:00,Nashville SC,Inter Miami,2.35,3.9,2.7,https://redscores.com/pt-br/match/nashville-sc-inter-miami/AYTx3IBA
EUA - Major League Soccer,22:00,Sporting KC,Houston Dynamo,2.5,3.6,2.62,https://redscores.com/pt-br/match/sporting-kc-houston-dynamo/jCx0D
EUA - Major League Soccer,22:00,Vancouver Whitecaps,Dallas,1.48,4.75,6.0,https://redscores.com/pt-br/match/vancouver-whitecaps-dallas/YcxrE
EUA - Major League Soccer,22:00,Colorado Rapids,Los Angeles FC,3.25,3.8,2.05,https://redscores.com/pt-br/match/colorado-rapids-los-angeles-fc/6bx0UT
EUA - Major League Soccer,22:00,LA Galaxy,Minnesota United,2.55,3.5,2.62,https://redscores.com/pt-br/match/la-galaxy-minnesota-united/ydxu8
EUA - Major League Soccer,22:00,Portland Timbers,San Diego,2.55,3.7,2.55,https://redscores.com/pt-br/match/portland-timbers-san-diego/7Ex1cGA
EUA - Major League Soccer,22:00,St. Louis City,Real Salt Lake,2.45,3.75,2.62,https://redscores.com/pt-br/match/real-salt-lake-st-louis-city/MIx7ZfA
EUA - Major League Soccer,22:00,SJ Earthquakes,Austin,1.85,3.9,3.8,https://redscores.com/pt-br/match/sj-earthquakes-austin/VcxXjDA
Bélgica - Pro League,11:00,La Louvière,Westerlo,2.55,3.4,2.62,https://redscores.com/pt-br/match/westerlo-la-louviere/1CxgzA
Bélgica - Pro League,13:15,OH Leuven,Club Brugge,5.5,4.2,1.53,https://redscores.com/pt-br/match/club-brugge-oh-leuven/RCx5P
Bélgica - Pro League,15:45,Union Saint-Gilloise,Charleroi,1.42,4.75,7.0,https://redscores.com/pt-br/match/sporting-charleroi-union-saint-gilloise/ZIx3BA
Inglaterra - Championship,08:30,QPR,Millwall,2.7,3.0,2.8,https://redscores.com/pt-br/match/queens-park-rangers-millwall/yxBA
Inglaterra - Championship,08:30,Oxford Utd,Derby,2.37,3.1,3.1,https://redscores.com/pt-br/match/derby-county-oxford-united/mx2c
Inglaterra - Championship,08:30,Southampton,Swansea,1.85,3.6,4.0,https://redscores.com/pt-br/match/swansea-city-southampton/pxcA
Inglaterra - Championship,11:00,Birmingham,Hull,1.75,3.75,4.5,https://redscores.com/pt-br/match/birmingham-city-hull-city/gxl
Inglaterra - Championship,11:00,Charlton,Sheffield Wed,1.6,3.75,5.75,https://redscores.com/pt-br/match/charlton-athletic-sheffield-wednesday/cx5
Inglaterra - Championship,11:00,Sheffield Utd,Watford,2.1,3.25,3.5,https://redscores.com/pt-br/match/sheffield-united-watford/KxM
Inglaterra - Championship,11:00,Norwich,Bristol City,2.7,3.4,2.55,https://redscores.com/pt-br/match/norwich-city-bristol-city/Qxab
Inglaterra - Championship,11:00,Coventry,Blackburn,1.48,4.2,6.5,https://redscores.com/pt-br/match/blackburn-rovers-coventry-city/bx5A
Inglaterra - Championship,11:00,West Brom,Preston,1.7,3.6,5.0,https://redscores.com/pt-br/match/west-bromwich-albion-preston-north-end/fxtA
Inglaterra - Championship,11:00,Stoke,Wrexham,1.85,3.6,4.0,https://redscores.com/pt-br/match/stoke-city-wrexham/nxTc
Inglaterra - Championship,15:45,Leicester,Portsmouth,1.7,3.7,4.75,https://redscores.com/pt-br/match/portsmouth-leicester-city/Cxv
Inglaterra - League One,08:30,Lincoln,Stevenage,2.35,3.25,3.0,https://redscores.com/pt-br/match/lincoln-city-stevenage/aCxVd
Inglaterra - League One,08:30,Burton,Peterborough,2.35,3.4,2.8,https://redscores.com/pt-br/match/burton-albion-peterborough-united/obxfc
Inglaterra - League One,11:00,Blackpool,Wycombe,2.9,3.3,2.3,https://redscores.com/pt-br/match/blackpool-wycombe-wanderers/oxaB
Inglaterra - League One,11:00,Cardiff,Reading,1.57,4.0,5.25,https://redscores.com/pt-br/match/reading-cardiff-city/LxeA
Inglaterra - League One,11:00,Bradford City,Barnsley,2.1,3.6,3.1,https://redscores.com/pt-br/match/barnsley-bradford-city/3xHb
Inglaterra - League One,11:00,Luton,Mansfield,1.61,3.9,5.0,https://redscores.com/pt-br/match/luton-town-mansfield-town/3AxvB
Inglaterra - League One,11:00,Plymouth,Wimbledon,2.0,3.3,3.75,https://redscores.com/pt-br/match/plymouth-argyle-afc-wimbledon/zAx6c
Inglaterra - League One,11:00,Rotherham,Leyton Orient,2.9,3.4,2.3,https://redscores.com/pt-br/match/rotherham-united-leyton-orient/ibxZc
Inglaterra - League One,11:00,Stockport County,Exeter,1.42,4.2,7.5,https://redscores.com/pt-br/match/exeter-city-stockport-county/bBxCc
Inglaterra - League One,11:00,Wigan,Port Vale,2.55,3.1,2.8,https://redscores.com/pt-br/match/wigan-athletic-port-vale/IxVC
Inglaterra - League One,11:00,Doncaster,Northampton,1.8,3.6,4.2,https://redscores.com/pt-br/match/northampton-town-doncaster-rovers/tBx1B
Inglaterra - League Two,08:30,Cambridge,Bromley,2.15,3.3,3.25,https://redscores.com/pt-br/match/cambridge-united-bromley/zBx1c
Inglaterra - League Two,08:30,Salford,Oldham,2.05,3.5,3.3,https://redscores.com/pt-br/match/salford-city-oldham-athletic/DbxRB
Inglaterra - League Two,11:00,Barnet,Notts County,2.0,3.5,3.5,https://redscores.com/pt-br/match/notts-county-barnet/SAxGC
Inglaterra - League Two,11:00,Colchester,Harrogate,1.66,3.6,5.0,https://redscores.com/pt-br/match/colchester-united-harrogate-town/GAxid
Inglaterra - League Two,11:00,Newport,Cheltenham,2.2,3.4,3.1,https://redscores.com/pt-br/match/newport-county-cheltenham-town/FAxXC
Inglaterra - League Two,11:00,Accrington,Swindon,3.75,3.6,1.9,https://redscores.com/pt-br/match/swindon-town-accrington-stanley/UcxOd
Inglaterra - League Two,11:00,Bristol Rovers,Tranmere,1.85,3.6,3.9,https://redscores.com/pt-br/match/tranmere-rovers-bristol-rovers/jBxyB
Inglaterra - League Two,11:00,Chesterfield,Fleetwood,1.75,3.7,4.33,https://redscores.com/pt-br/match/chesterfield-fleetwood-town/ccxgC
Inglaterra - League Two,11:00,Grimsby Town,Gillingham,2.05,3.5,3.4,https://redscores.com/pt-br/match/grimsby-town-gillingham/HBxbC
Inglaterra - League Two,11:00,MK Dons,Crewe,1.8,3.4,4.75,https://redscores.com/pt-br/match/crewe-alexandra-milton-keynes-dons/nAxsC
