liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
Inglaterra - Premier League,09:30,Manchester United,Tottenham,1.61,4.33,4.75,https://redscores.com/pt-br/match/tottenham-hotspur-manchester-united/dxh
Inglaterra - Premier League,12:00,Wolves,Chelsea,5.0,4.1,1.65,https://redscores.com/pt-br/match/chelsea-wolverhampton-wanderers/jxO
Inglaterra - Premier League,12:00,Arsenal,Sunderland,1.25,6.0,12.0,https://redscores.com/pt-br/match/sunderland-arsenal/BxJ
Inglaterra - Premier League,12:00,Bournemouth,Aston Villa,2.7,3.5,2.5,https://redscores.com/pt-br/match/aston-villa-afc-bournemouth/Hx1
Inglaterra - Premier League,12:00,Burnley,West Ham,3.2,3.5,2.2,https://redscores.com/pt-br/match/west-ham-united-burnley/AxN
Inglaterra - Premier League,12:00,Fulham,Everton,2.1,3.25,3.75,https://redscores.com/pt-br/match/fulham-everton/FxG
Inglaterra - Premier League,14:30,Newcastle,Brentford,2.1,3.5,3.5,https://redscores.com/pt-br/match/newcastle-united-brentford/kx2B
Espanha - La Liga,10:00,Rayo Vallecano,R. Oviedo,1.8,3.5,5.0,https://redscores.com/pt-br/match/real-oviedo-rayo-vallecano/qAxFd
Espanha - La Liga,12:15,Barcelona,Mallorca,1.14,9.0,15.0,https://redscores.com/pt-br/match/fc-barcelona-mallorca/lAxRf
Espanha - La Liga,14:30,Sevilla,Girona,2.15,3.3,3.5,https://redscores.com/pt-br/match/girona-sevilla/YBxCF
Espanha - La Liga,17:00,Real Sociedad,Elche,1.66,4.0,5.0,https://redscores.com/pt-br/match/real-sociedad-elche/WExAj
Alemanha - Bundesliga,11:30,Wolfsburg,Dortmund,4.33,4.2,1.7,https://redscores.com/pt-br/match/borussia-dortmund-vfl-wolfsburg/DAxle
Alemanha - Bundesliga,11:30,Freiburg,Werder Bremen,1.9,3.7,4.0,https://redscores.com/pt-br/match/werder-bremen-sc-freiburg/KAxC7
Alemanha - Bundesliga,11:30,St. Pauli,Stuttgart,4.33,3.75,1.8,https://redscores.com/pt-br/match/st-pauli-vfb-stuttgart/YCxM3
Alemanha - Bundesliga,11:30,Mainz,Augsburg,2.0,3.6,3.6,https://redscores.com/pt-br/match/fc-augsburg-fsv-mainz-05/OAxAG
Alemanha - Bundesliga,11:30,Heidenheim,Hamburger,2.87,3.5,2.4,https://redscores.com/pt-br/match/hamburger-sv-heidenheim/mwxMX
Alemanha - Bundesliga,14:30,M'Gladbach,Leverkusen,3.6,3.8,1.95,https://redscores.com/pt-br/match/borussia-monchengladbach-bayer-04-leverkusen/gFxN3
Itália - Serie A,14:00,Genoa,Napoli,4.5,3.1,1.95,https://redscores.com/pt-br/match/genoa-napoli/UAxYE
Itália - Serie A,16:45,Fiorentina,Torino,1.7,3.8,5.0,https://redscores.com/pt-br/match/fiorentina-torino/YAxBf
França - Ligue 1,13:00,Lens,Rennes,1.7,3.9,4.75,https://redscores.com/pt-br/match/lens-rennes/NcxzE
França - Ligue 1,15:00,Brest,Lorient,2.3,3.1,3.4,https://redscores.com/pt-br/match/brest-lorient/lcxXOb
França - Ligue 1,17:05,Nantes,Lyon,4.75,3.75,1.72,https://redscores.com/pt-br/match/nantes-olympique-lyonnais/8xjA
Países Baixos - Eredivisie,12:30,Nijmegen,Heracles Almelo,1.45,4.5,6.25,https://redscores.com/pt-br/match/nec-nijmegen-heracles-almelo/dexaL
Países Baixos - Eredivisie,14:45,Zwolle,FC Volendam,1.7,3.7,5.25,https://redscores.com/pt-br/match/pec-zwolle-fc-volendam/uixIT
Países Baixos - Eredivisie,16:00,Twente,Heerenveen,1.7,4.33,4.33,https://redscores.com/pt-br/match/fc-twente-sc-heerenveen/wExiI
Países Baixos - Eredivisie,17:00,Fortuna Sittard,Sparta Rotterdam,2.75,3.5,2.4,https://redscores.com/pt-br/match/sparta-rotterdam-fortuna-sittard/cHx5L
Portugal - Primeira Liga,12:30,Estrela Amadora,Santa Clara,3.5,2.9,2.3,https://redscores.com/pt-br/match/santa-clara-estrela-amadora/CVxGiB
Portugal - Primeira Liga,12:30,Moreirense,Gil Vicente,3.5,3.0,2.25,https://redscores.com/pt-br/match/gil-vicente-moreirense/8CxYI
Portugal - Primeira Liga,15:00,Estoril,Tondela,1.7,3.9,4.75,https://redscores.com/pt-br/match/estoril-tondela/TJxk6
Portugal - Primeira Liga,17:30,Arouca,Guimaraes,2.8,3.3,2.45,https://redscores.com/pt-br/match/vitoria-sc-arouca/SGxCdA
Turquia - Super Lig,08:30,Karagümrük,Antalyaspor,2.3,3.2,3.2,https://redscores.com/pt-br/match/antalyaspor-fatih-karagumruk/kAxMcA
Turquia - Super Lig,14:00,Samsunspor,Trabzonspor,2.4,3.25,2.9,https://redscores.com/pt-br/match/trabzonspor-samsunspor/IFxCX
Bélgica - Pro League,12:00,Zulte-Waregem,Dender,2.1,3.4,3.4,https://redscores.com/pt-br/match/zulte-waregem-dender/kjx6w
Bélgica - Pro League,14:15,Charleroi,Cercle Brugge,1.9,3.4,3.5,https://redscores.com/pt-br/match/sporting-charleroi-cercle-brugge/ZIxjV
Bélgica - Pro League,16:45,Gent,OH Leuven,1.83,3.5,4.2,https://redscores.com/pt-br/match/oh-leuven-gent/5PxLT
Inglaterra - Championship,09:31,Norwich,Blackburn,1.95,3.5,3.75,https://redscores.com/pt-br/match/blackburn-rovers-norwich-city/bxQ
Inglaterra - Championship,09:31,Southampton,Watford,1.85,3.7,4.0,https://redscores.com/pt-br/match/watford-southampton/MxcA
Inglaterra - Championship,09:31,Derby,Ipswich,3.7,3.5,2.0,https://redscores.com/pt-br/match/derby-county-ipswich-town/mx4A
Inglaterra - Championship,12:01,Coventry,Oxford Utd,1.38,4.33,6.25,https://redscores.com/pt-br/match/coventry-city-oxford-united/5Ax2c
Inglaterra - Championship,12:01,Hull,Bristol City,2.35,3.3,3.0,https://redscores.com/pt-br/match/hull-city-bristol-city/lxab
Inglaterra - Championship,12:01,West Brom,Stoke,2.1,3.2,3.6,https://redscores.com/pt-br/match/west-bromwich-albion-stoke-city/fxn
Inglaterra - Championship,12:01,Birmingham,Leicester,1.61,3.9,5.0,https://redscores.com/pt-br/match/birmingham-city-leicester-city/gxv
Inglaterra - Championship,12:01,Wrexham,Millwall,2.55,3.3,2.75,https://redscores.com/pt-br/match/millwall-wrexham/BAxTc
Inglaterra - Championship,12:01,Preston,Portsmouth,2.37,3.2,3.1,https://redscores.com/pt-br/match/portsmouth-preston-north-end/CxtA
Inglaterra - League One,09:31,Port Vale,Burton,2.3,3.4,2.9,https://redscores.com/pt-br/match/burton-albion-port-vale/obxVC
Inglaterra - League One,09:31,Luton,Bradford City,1.95,3.2,4.0,https://redscores.com/pt-br/match/luton-town-bradford-city/3AxHb
Inglaterra - League One,12:01,Wimbledon,Reading,2.62,3.3,2.55,https://redscores.com/pt-br/match/reading-afc-wimbledon/Lx6c
Inglaterra - League One,12:01,Mansfield,Exeter,2.15,3.3,3.25,https://redscores.com/pt-br/match/exeter-city-mansfield-town/bBxvB
Inglaterra - League One,12:01,Bolton,Barnsley,1.66,3.8,4.75,https://redscores.com/pt-br/match/bolton-wanderers-barnsley/ix3
Inglaterra - League One,12:01,Rotherham,Cardiff,3.6,3.5,2.0,https://redscores.com/pt-br/match/cardiff-city-rotherham-united/eAxib
Inglaterra - League One,12:01,Stockport County,Leyton Orient,1.61,4.0,5.0,https://redscores.com/pt-br/match/stockport-county-leyton-orient/CcxZc
Inglaterra - League One,12:01,Plymouth,Lincoln,2.7,3.3,2.5,https://redscores.com/pt-br/match/plymouth-argyle-lincoln-city/zAxaC
Inglaterra - League One,12:01,Wycombe,Doncaster,2.05,3.5,3.4,https://redscores.com/pt-br/match/wycombe-wanderers-doncaster-rovers/aBx1B
Inglaterra - League One,12:01,Huddersfield,Blackpool,1.7,3.7,4.75,https://redscores.com/pt-br/match/blackpool-huddersfield-town/oxDc
Inglaterra - League One,12:01,Peterborough,Wigan,2.2,3.3,3.2,https://redscores.com/pt-br/match/wigan-athletic-peterborough-united/Ixfc
Inglaterra - League One,12:01,Northampton,Stevenage,3.1,3.1,2.37,https://redscores.com/pt-br/match/northampton-town-stevenage/tBxVd
Inglaterra - League Two,09:31,Swindon,Oldham,2.1,3.5,3.2,https://redscores.com/pt-br/match/oldham-athletic-swindon-town/RBxUc
Inglaterra - League Two,09:31,Crawley,Crewe,2.1,3.7,3.1,https://redscores.com/pt-br/match/crewe-alexandra-crawley-town/nAxlB
Inglaterra - League Two,12:01,Colchester,Shrewsbury,1.6,3.8,5.25,https://redscores.com/pt-br/match/colchester-united-shrewsbury-town/GAxqb
Inglaterra - League Two,12:01,Fleetwood,Bromley,3.5,3.5,2.0,https://redscores.com/pt-br/match/bromley-fleetwood-town/1cxgC
Inglaterra - League Two,12:01,Harrogate,Cambridge,5.75,3.8,1.57,https://redscores.com/pt-br/match/cambridge-united-harrogate-town/zBxid
Inglaterra - League Two,12:01,Walsall,Barnet,3.1,3.25,2.25,https://redscores.com/pt-br/match/walsall-barnet/HAxGC
Inglaterra - League Two,12:01,Bristol Rovers,Chesterfield,2.3,3.5,2.8,https://redscores.com/pt-br/match/bristol-rovers-chesterfield/yBxcc
Inglaterra - League Two,12:01,Cheltenham,MK Dons,4.2,3.7,1.75,https://redscores.com/pt-br/match/milton-keynes-dons-cheltenham-town/sCxXC
Inglaterra - League Two,12:01,Newport,Grimsby Town,4.1,3.8,1.75,https://redscores.com/pt-br/match/newport-county-grimsby-town/FAxHB
Inglaterra - League Two,12:01,Gillingham,Tranmere,1.75,3.8,4.2,https://redscores.com/pt-br/match/tranmere-rovers-gillingham/jBxbC
Inglaterra - League Two,12:01,Notts County,Barrow,1.6,4.0,5.25,https://redscores.com/pt-br/match/notts-county-barrow/SAxGd
Espanha - La Liga 2,10:00,FC Andorra,R. Sociedad II,1.8,3.6,4.33,https://redscores.com/pt-br/match/real-sociedad-ii-fc-andorra/jsbxq9bA
Espanha - La Liga 2,12:15,Las Palmas,Burgos,1.85,3.3,4.5,https://redscores.com/pt-br/match/las-palmas-burgos/3yxEHb
Espanha - La Liga 2,14:30,Zaragoza,Eibar,2.75,3.1,2.62,https://redscores.com/pt-br/match/sd-eibar-real-zaragoza/9xBcA
Espanha - La Liga 2,17:00,Cádiz,Almería,2.62,3.5,2.55,https://redscores.com/pt-br/match/almeria-cadiz/efx5ZA
Itália - Serie B,11:00,Frosinone,Venezia,3.25,3.5,2.15,https://redscores.com/pt-br/match/venezia-frosinone/LcxwCA
Itália - Serie B,11:00,Modena,Sampdoria,1.8,3.1,5.5,https://redscores.com/pt-br/match/sampdoria-modena/rexmi
Itália - Serie B,11:00,Carrarese,Südtirol,2.5,2.87,3.3,https://redscores.com/pt-br/match/sudtirol-carrarese/3bxJCb
Itália - Serie B,11:00,Catanzaro,Reggiana,1.8,3.5,4.5,https://redscores.com/pt-br/match/reggiana-catanzaro/MyxOab
Itália - Serie B,11:00,Juve Stabia,Calcio Padova,1.72,3.4,5.25,https://redscores.com/pt-br/match/juve-stabia-calcio-padova/31Axs7CA
Itália - Serie B,11:00,Mantova,Bari 1908,2.05,3.0,4.0,https://redscores.com/pt-br/match/bari-1908-mantova/jDxR3b
Itália - Serie B,13:15,Palermo,Empoli,1.65,3.8,5.0,https://redscores.com/pt-br/match/empoli-palermo/Pdx6J
Itália - Serie B,15:30,Spezia,Virtus Entella,2.3,2.8,3.7,https://redscores.com/pt-br/match/spezia-virtus-entella/uCxfdb
Alemanha - 2. Bundesliga,09:00,Paderborn,Nürnberg,1.85,3.75,3.8,https://redscores.com/pt-br/match/nurnberg-paderborn/UHxJV
Alemanha - 2. Bundesliga,09:00,Elversberg,Hertha,2.1,3.75,3.1,https://redscores.com/pt-br/match/hertha-bsc-elversberg/L3xZ7
Alemanha - 2. Bundesliga,09:00,Schalke,Dynamo Dresden,1.72,3.75,4.5,https://redscores.com/pt-br/match/schalke-04-dynamo-dresden/dAxuI
