data,liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
2026-03-30,Argélia - Ligue 1,12:00,Paradou AC,CR Belouizdad,4.33,3.0,1.8,https://redscores.com/pt-br/match/cr-belouizdad-paradou-ac/yZAxZkc
2026-03-30,Argélia - Ligue 1,13:45,JS Kabylie,Ben Aknoun,1.53,3.2,6.5,https://redscores.com/pt-br/match/js-kabylie-ben-aknoun/HRbxEwt
2026-03-30,Argélia - Ligue 1,16:00,MC Alger,USM Alger,1.65,3.0,5.75,https://redscores.com/pt-br/match/mc-alger-usm-alger/n2Ax8Cb
2026-03-30,Argentina - Primera B Nacional,16:00,Defensores de Belgrano,Atlético Rafaela,2.1,2.8,4.2,https://redscores.com/pt-br/match/defensores-de-belgrano-atletico-rafaela/f0xJ4b
2026-03-30,Colômbia - Liga BetPlay,20:10,Independiente Medellín,América de Cali,2.1,3.2,3.7,https://redscores.com/pt-br/match/independiente-medellin-america-de-cali/NCx7Ob
2026-03-30,Colômbia - Liga BetPlay,22:20,Millonarios,Fortaleza CEIF,1.61,3.75,5.75,https://redscores.com/pt-br/match/fortaleza-ceif-millonarios/ZUAxbdb
2026-03-30,Paraguai - Division 1,20:30,Libertad,Deportivo Recoleta,1.8,2.87,5.25,https://redscores.com/pt-br/match/libertad-deportivo-recoleta/b7bxZ4bA
2026-03-30,Uruguai - Primera Division,18:00,Cerro Largo,Danubio,2.75,2.9,2.37,https://redscores.com/pt-br/match/cerro-largo-danubio/NUxL5
2026-03-30,Uruguai - Primera Division,21:00,Central Español,Deportivo Maldonado,2.9,2.9,2.3,https://redscores.com/pt-br/match/central-espanol-deportivo-maldonado/15AxyBb
