liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
Arábia Saudita - Pro League,12:00,Al Kholood,Al Taawoun,3.25,3.4,1.95,https://redscores.com/pt-br/match/al-taawoun-al-kholood/GTxOQAA
Arábia Saudita - Pro League,14:30,Al Hilal,Al Khaleej,1.18,6.25,10.0,https://redscores.com/pt-br/match/al-hilal-al-khaleej/62AxiIB
Argélia - Ligue 1,11:00,JS Saoura,El Bayadh,1.42,3.8,7.5,https://redscores.com/pt-br/match/js-saoura-el-bayadh/gKcxbwt
Argélia - Ligue 1,11:00,USM Khenchela,CS Constantine,2.1,2.75,3.7,https://redscores.com/pt-br/match/cs-constantine-usm-khenchela/8MxUoM
Austrália - A-League,05:35,Newcastle Jets,Macarthur,1.95,4.0,3.4,https://redscores.com/pt-br/match/newcastle-jets-macarthur/eExHwdA
Austrália - A-League,21:00,Sydney,Auckland,2.35,3.3,2.8,https://redscores.com/pt-br/match/sydney-auckland/Ecx8PgA
Inglaterra - National League,12:00,Hartlepool,Scunthorpe,2.15,3.4,3.0,https://redscores.com/pt-br/match/scunthorpe-united-hartlepool-united/uAxCC
Inglaterra - National League,12:00,Morecambe,Rochdale,6.0,4.2,1.44,https://redscores.com/pt-br/match/rochdale-morecambe/6Bxug
Inglaterra - National League,12:00,Eastleigh,Woking,2.45,3.2,2.7,https://redscores.com/pt-br/match/eastleigh-woking/NBxrd
Inglaterra - National League,12:00,Gateshead,Carlisle,5.5,4.75,1.45,https://redscores.com/pt-br/match/gateshead-carlisle-united/JCxMC
Inglaterra - National League,12:00,Wealdstone,Boreham Wood,4.2,3.8,1.72,https://redscores.com/pt-br/match/wealdstone-boreham-wood/ecxli
Inglaterra - National League,12:00,Sutton,Aldershot Town,1.9,3.7,3.4,https://redscores.com/pt-br/match/aldershot-town-sutton-united/FBxBC
Inglaterra - National League,12:00,Solihull Moors,Tamworth,2.0,3.4,3.4,https://redscores.com/pt-br/match/tamworth-solihull-moors/Vbx3i
Inglaterra - National League,12:00,Brackley Town,Forest Green,4.75,3.6,1.61,https://redscores.com/pt-br/match/forest-green-rovers-brackley-town/4bxkh
Inglaterra - National League,12:00,Truro City,Yeovil Town,2.2,3.2,3.1,https://redscores.com/pt-br/match/truro-city-yeovil-town/fbxIc
Inglaterra - National League,12:00,Braintree Town,Southend United,4.75,3.5,1.66,https://redscores.com/pt-br/match/southend-united-braintree-town/2AxRH
